date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,1,-6,0.0,3.4,1,100,06:07 PM,08:28 AM,07:44 AM,04:49 PM,-2,-7,-1,-7,35,97,90,2.2,1013,1,4,274,23,alabama
2010-01-02,-7,-12,0.0,3.4,1,85,07:29 PM,09:07 AM,07:44 AM,04:50 PM,-11,-20,-10,-20,43,100,94,2.8,1015,-7,0,302,29,alabama
2010-01-03,-8,-12,1.5,3.4,1,77,08:48 PM,09:39 AM,07:44 AM,04:51 PM,-10,-19,-10,-19,45,100,96,9.2,1012,-8,0,307,29,alabama
2010-01-04,-7,-9,0.0,3.4,1,70,10:04 PM,10:06 AM,07:44 AM,04:52 PM,-8,-15,-8,-15,30,100,94,2.4,1012,-7,3,306,20,alabama
2010-01-05,-5,-8,0.0,3.4,1,63,11:18 PM,10:31 AM,07:44 AM,04:52 PM,-7,-14,-7,-14,30,100,95,2.9,1011,-5,3,296,20,alabama
2010-01-06,-4,-7,0.0,3.4,1,56,No moonrise,10:55 AM,07:44 AM,04:54 PM,-6,-12,-5,-12,34,100,94,0.0,1013,-4,6,295,23,alabama
2010-01-07,-3,-5,0.0,3.4,1,48,12:30 AM,11:21 AM,07:44 AM,04:55 PM,-4,-9,-4,-9,23,100,94,0.0,1015,-3,8,252,15,alabama
2010-01-08,-4,-9,0.0,3.4,1,41,01:41 AM,11:49 AM,07:44 AM,04:56 PM,-7,-13,-7,-13,29,100,94,4.6,1014,-4,2,230,19,alabama
2010-01-09,-9,-11,0.0,5.2,1,34,02:49 AM,12:21 PM,07:44 AM,04:57 PM,-11,-16,-10,-16,23,63,91,0.0,1026,-9,9,321,14,alabama
2010-01-10,-4,-12,0.0,5.2,1,27,03:56 AM,12:59 PM,07:43 AM,04:58 PM,-9,-15,-8,-15,37,68,91,0.0,1025,-4,8,249,23,alabama
2010-01-11,-4,-6,0.0,3.4,1,19,04:58 AM,01:44 PM,07:43 AM,04:59 PM,-6,-11,-5,-11,33,95,91,1.3,1020,-4,5,246,19,alabama
2010-01-12,-5,-7,0.0,3.6,1,12,05:53 AM,02:36 PM,07:43 AM,05:00 PM,-7,-12,-6,-12,25,86,92,0.1,1024,-5,5,309,16,alabama
2010-01-13,-1,-8,0.0,3.6,1,5,06:40 AM,03:33 PM,07:42 AM,05:01 PM,-4,-10,-3,-10,38,93,92,0.0,1021,-1,7,247,23,alabama
2010-01-14,3,-2,0.0,7.0,1,0,07:20 AM,04:34 PM,07:42 AM,05:02 PM,-0,-5,0,-5,34,62,94,0.0,1019,3,9,225,20,alabama
2010-01-15,2,-1,0.0,3.6,1,0,07:53 AM,05:37 PM,07:42 AM,05:04 PM,1,-3,1,-3,36,76,93,0.0,1021,2,9,261,21,alabama
2010-01-16,2,-2,0.0,8.7,2,2,08:20 AM,06:38 PM,07:41 AM,05:05 PM,-1,-5,-0,-5,34,33,93,0.0,1022,2,10,239,20,alabama
2010-01-17,4,-2,0.0,8.7,1,10,08:43 AM,07:40 PM,07:40 AM,05:06 PM,-0,-2,1,-2,18,40,92,0.0,1013,4,7,141,9,alabama
2010-01-18,2,-2,0.0,8.7,1,17,09:05 AM,08:41 PM,07:40 AM,05:07 PM,-1,-4,0,-4,24,51,93,0.0,1011,2,8,255,14,alabama
2010-01-19,1,-2,0.0,3.6,1,24,09:25 AM,09:42 PM,07:39 AM,05:09 PM,-2,-5,-1,-5,23,83,89,0.6,1013,1,9,256,13,alabama
2010-01-20,-1,-4,0.0,7.0,1,31,09:45 AM,10:43 PM,07:39 AM,05:10 PM,-4,-6,-2,-6,20,56,86,1.1,1018,-1,10,297,12,alabama
