date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,27,19,0.0,7.2,5,100,06:43 PM,07:02 AM,06:16 AM,05:30 PM,21,23,23,22,13,55,94,6.4,1016,27,8,172,6,arizona
2010-01-02,26,19,0.0,5.7,5,85,07:48 PM,07:56 AM,06:16 AM,05:30 PM,21,22,23,22,20,78,95,21.9,1014,26,9,52,7,arizona
2010-01-03,22,19,0.0,4.2,5,77,08:49 PM,08:45 AM,06:17 AM,05:31 PM,20,20,21,20,14,99,99,14.8,1014,22,8,216,6,arizona
2010-01-04,21,18,0.0,4.2,4,70,09:48 PM,09:30 AM,06:17 AM,05:32 PM,20,20,21,20,14,93,99,8.4,1016,21,8,327,6,arizona
2010-01-05,19,17,0.0,4.2,4,63,10:44 PM,10:12 AM,06:17 AM,05:32 PM,18,19,19,19,23,99,99,28.2,1019,19,7,314,11,arizona
2010-01-06,19,17,0.0,4.2,4,56,11:39 PM,10:53 AM,06:18 AM,05:33 PM,18,18,18,18,18,100,99,23.2,1019,19,7,311,8,arizona
2010-01-07,23,16,0.0,4.2,4,48,No moonrise,11:34 AM,06:18 AM,05:33 PM,18,19,20,19,14,85,96,1.7,1016,23,5,257,5,arizona
2010-01-08,25,17,0.0,5.7,5,41,12:34 AM,12:17 PM,06:18 AM,05:34 PM,19,20,21,20,13,58,92,0.4,1016,25,6,71,6,arizona
2010-01-09,25,17,0.0,5.7,4,34,01:29 AM,01:02 PM,06:18 AM,05:35 PM,19,20,20,20,15,83,94,18.5,1018,25,7,243,7,arizona
2010-01-10,18,15,0.0,4.2,4,27,02:24 AM,01:50 PM,06:19 AM,05:35 PM,15,16,16,16,26,100,95,5.3,1023,18,7,328,13,arizona
2010-01-11,17,13,0.0,4.2,3,19,03:19 AM,02:40 PM,06:19 AM,05:36 PM,13,15,15,15,17,91,92,0.0,1023,17,5,247,6,arizona
2010-01-12,17,13,0.0,4.2,4,12,04:12 AM,03:33 PM,06:19 AM,05:36 PM,13,15,15,15,13,100,97,0.7,1022,17,7,261,6,arizona
2010-01-13,19,14,0.0,4.2,4,5,05:02 AM,04:25 PM,06:19 AM,05:37 PM,15,16,16,16,10,98,99,2.9,1021,19,6,281,5,arizona
2010-01-14,23,15,0.0,4.2,4,0,05:49 AM,05:17 PM,06:19 AM,05:38 PM,17,19,19,19,12,93,95,0.6,1017,23,3,187,6,arizona
2010-01-15,30,16,0.0,8.7,5,0,06:32 AM,06:07 PM,06:20 AM,05:38 PM,20,23,23,22,14,43,86,0.0,1013,30,7,143,7,arizona
2010-01-16,31,17,0.0,8.7,5,2,07:12 AM,06:56 PM,06:20 AM,05:39 PM,19,24,24,23,14,15,83,1.2,1013,31,9,168,8,arizona
2010-01-17,24,18,0.0,4.2,5,10,07:49 AM,07:44 PM,06:20 AM,05:39 PM,20,21,22,21,11,86,95,17.8,1016,24,7,233,5,arizona
2010-01-18,27,17,0.0,8.7,5,17,08:24 AM,08:30 PM,06:20 AM,05:40 PM,20,22,23,22,7,65,91,0.2,1016,27,5,243,4,arizona
2010-01-19,28,17,0.0,8.7,5,24,08:58 AM,09:17 PM,06:20 AM,05:40 PM,20,22,23,22,9,62,89,0.0,1014,28,4,102,4,arizona
2010-01-20,30,18,0.0,8.7,6,31,09:33 AM,10:04 PM,06:20 AM,05:41 PM,20,25,25,23,11,34,85,0.0,1011,30,7,104,6,arizona
2010-01-21,33,18,0.0,8.7,6,39,10:08 AM,10:52 PM,06:20 AM,05:42 PM,20,26,26,24,15,3,80,0.0,1010,33,10,122,8,arizona
2010-01-22,34,18,0.0,8.7,6,46,10:45 AM,11:44 PM,06:20 AM,05:42 PM,21,27,27,25,12,1,80,0.0,1011,34,9,178,7,arizona
