date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,13,3,0.0,7.0,2,100,06:15 PM,07:50 AM,07:00 AM,04:51 PM,-2,6,7,6,15,30,52,0.0,1025,13,10,164,9,california
2010-01-02,17,3,0.0,8.7,3,85,07:31 PM,08:33 AM,07:01 AM,04:52 PM,1,7,8,7,15,6,58,0.0,1021,17,10,108,9,california
2010-01-03,16,4,0.0,8.7,3,77,08:43 PM,09:11 AM,07:01 AM,04:53 PM,-5,7,8,7,18,31,42,0.0,1021,16,10,55,9,california
2010-01-04,16,5,0.0,8.7,3,70,09:53 PM,09:44 AM,07:01 AM,04:53 PM,-5,7,9,7,16,14,42,0.0,1020,16,10,91,9,california
2010-01-05,17,4,0.0,8.7,3,63,11:00 PM,10:14 AM,07:01 AM,04:54 PM,-5,8,9,8,13,3,42,0.0,1020,17,10,159,7,california
2010-01-06,19,5,0.0,8.7,4,56,No moonrise,10:45 AM,07:01 AM,04:55 PM,-5,9,10,9,12,19,35,0.0,1018,19,10,152,6,california
2010-01-07,18,3,0.0,8.7,4,48,12:06 AM,11:16 AM,07:01 AM,04:56 PM,-2,9,10,9,14,7,43,0.0,1017,18,10,104,8,california
2010-01-08,16,6,0.0,8.7,3,41,01:11 AM,11:50 AM,07:01 AM,04:57 PM,0,9,10,9,17,19,54,0.0,1021,16,10,59,9,california
2010-01-09,15,4,0.0,8.7,3,34,02:14 AM,12:27 PM,07:01 AM,04:58 PM,-4,8,9,8,13,12,42,0.0,1022,15,9,78,7,california
2010-01-10,18,5,0.0,8.7,4,27,03:17 AM,01:10 PM,07:01 AM,04:59 PM,-1,10,11,10,15,4,48,0.0,1021,18,10,78,8,california
2010-01-11,19,5,0.0,8.7,4,19,04:15 AM,01:57 PM,07:01 AM,05:00 PM,-0,11,12,11,15,8,48,0.0,1021,19,10,63,8,california
2010-01-12,20,8,0.0,8.7,4,12,05:09 AM,02:50 PM,07:00 AM,05:01 PM,1,12,12,12,13,9,50,0.0,1020,20,10,177,7,california
2010-01-13,14,4,0.0,8.7,2,5,05:57 AM,03:46 PM,07:00 AM,05:02 PM,2,6,9,6,27,20,63,1.0,1020,14,10,281,15,california
2010-01-14,15,3,0.0,8.7,3,0,06:39 AM,04:43 PM,07:00 AM,05:03 PM,-4,6,8,6,19,8,50,0.0,1024,15,10,153,10,california
2010-01-15,15,3,0.0,8.7,3,0,07:15 AM,05:41 PM,07:00 AM,05:03 PM,-6,7,8,7,14,16,38,0.0,1022,15,10,74,7,california
2010-01-16,17,5,0.0,8.7,3,2,07:47 AM,06:38 PM,06:59 AM,05:04 PM,-4,9,10,9,13,22,42,0.0,1015,17,10,175,7,california
2010-01-17,14,3,0.0,8.7,2,10,08:14 AM,07:35 PM,06:59 AM,05:05 PM,2,6,7,6,16,36,71,0.6,1014,14,9,247,9,california
2010-01-18,10,4,0.0,3.9,2,17,08:40 AM,08:30 PM,06:59 AM,05:06 PM,7,6,8,6,22,80,94,14.8,1008,10,6,198,12,california
2010-01-19,7,4,0.0,5.5,1,24,09:06 AM,09:26 PM,06:58 AM,05:07 PM,4,3,5,3,20,69,93,14.0,1006,7,5,208,11,california
2010-01-20,7,3,0.0,3.9,2,31,09:31 AM,10:23 PM,06:58 AM,05:08 PM,5,3,5,3,24,84,94,17.3,1001,7,6,178,13,california
2010-01-21,5,2,0.0,3.9,1,39,09:57 AM,11:21 PM,06:58 AM,05:10 PM,3,-0,4,-0,25,94,96,18.0,990,5,6,147,16,california
2010-01-22,6,1,0.0,5.5,1,46,10:26 AM,No moonset,06:57 AM,05:11 PM,3,1,4,1,24,72,90,0.3,1000,6,9,237,15,california
2010-01-23,7,0,0.0,8.7,2,53,10:59 AM,12:22 AM,06:57 AM,05:12 PM,0,0,3,0,17,16,84,0.0,1016,7,8,293,8,california
2010-01-24,11,0,0.0,8.7,2,60,11:39 AM,01:26 AM,06:56 AM,05:13 PM,-1,4,5,4,9,17,66,0.0,1021,11,10,232,5,california
2010-01-25,11,2,0.0,7.1,2,68,12:26 PM,02:31 AM,06:56 AM,05:14 PM,2,5,6,5,11,42,75,0.0,1017,11,10,149,6,california
2010-01-26,12,2,0.0,8.7,2,75,01:25 PM,03:37 AM,06:55 AM,05:15 PM,3,5,6,5,11,41,83,0.3,1013,12,9,146,6,california
2010-01-27,12,2,0.0,8.7,3,82,02:31 PM,04:39 AM,06:54 AM,05:16 PM,3,5,6,5,13,28,83,0.1,1014,12,8,213,8,california
2010-01-28,13,0,0.0,8.7,2,90,03:45 PM,05:34 AM,06:54 AM,05:17 PM,-0,5,6,5,14,22,66,0.0,1018,13,10,56,7,california
2010-01-29,13,3,0.0,8.7,3,97,05:02 PM,06:22 AM,06:53 AM,05:18 PM,0,7,7,7,9,20,65,0.0,1017,13,10,120,4,california
2010-01-30,14,2,0.0,8.7,3,100,06:17 PM,07:03 AM,06:52 AM,05:19 PM,2,5,7,5,13,9,75,0.0,1015,14,10,298,7,california
2010-01-31,13,-0,0.0,8.7,3,100,07:31 PM,07:39 AM,06:52 AM,05:20 PM,0,5,6,5,12,16,68,0.0,1014,13,10,152,6,california
2010-02-01,13,2,0.0,8.7,3,77,08:42 PM,08:12 AM,06:51 AM,05:21 PM,1,6,7,6,11,39,71,0.0,1013,13,10,76,6,california
2010-02-02,13,4,0.0,8.7,3,69,09:51 PM,08:44 AM,06:50 AM,05:22 PM,1,7,8,7,13,22,63,0.0,1010,13,10,63,7,california
2010-02-03,14,2,0.0,8.7,3,62,10:59 PM,09:16 AM,06:49 AM,05:23 PM,0,6,7,6,14,9,59,0.0,1009,14,10,316,8,california
2010-02-04,12,2,0.0,8.7,3,54,No moonrise,09:50 AM,06:48 AM,05:24 PM,3,5,7,5,18,40,76,0.0,1013,12,10,233,10,california
2010-02-05,10,6,0.0,5.6,2,47,12:05 AM,10:27 AM,06:48 AM,05:25 PM,6,6,8,6,19,72,88,4.2,1015,10,8,177,10,california
2010-02-06,9,5,0.0,4.0,2,39,01:09 AM,11:09 AM,06:47 AM,05:26 PM,7,6,8,6,20,90,93,6.9,1012,9,7,217,12,california
2010-02-07,9,2,0.0,8.7,2,32,02:10 AM,11:55 AM,06:46 AM,05:27 PM,2,2,5,2,24,36,84,0.0,1013,9,10,293,14,california
2010-02-08,13,0,0.0,8.7,3,24,03:05 AM,12:45 PM,06:45 AM,05:28 PM,1,4,5,4,11,23,77,0.0,1015,13,7,298,5,california
2010-02-09,10,2,0.0,7.2,1,16,03:55 AM,01:40 PM,06:44 AM,05:29 PM,3,3,5,3,15,55,85,2.0,1013,10,9,205,8,california
2010-02-10,12,0,0.0,8.7,2,9,04:38 AM,02:37 PM,06:43 AM,05:30 PM,1,4,5,4,14,25,75,1.3,1016,12,10,260,7,california
2010-02-11,14,1,0.0,8.7,3,1,05:16 AM,03:35 PM,06:42 AM,05:31 PM,0,5,7,5,13,8,63,0.0,1020,14,10,260,7,california
2010-02-12,15,3,0.0,8.7,3,0,05:49 AM,04:32 PM,06:41 AM,05:32 PM,1,6,8,6,13,1,60,0.0,1021,15,10,319,8,california
2010-02-13,18,3,0.0,8.7,3,0,06:18 AM,05:29 PM,06:40 AM,05:33 PM,2,8,9,8,13,2,57,0.0,1019,18,10,213,7,california
2010-02-14,20,4,0.0,8.7,4,0,06:45 AM,06:25 PM,06:39 AM,05:34 PM,2,10,11,10,14,4,56,0.0,1019,20,10,205,7,california
2010-02-15,20,4,0.0,8.7,4,6,07:10 AM,07:21 PM,06:38 AM,05:35 PM,1,10,11,10,13,8,51,0.0,1017,20,10,144,7,california
2010-02-16,20,5,0.0,8.7,4,13,07:36 AM,08:17 PM,06:37 AM,05:36 PM,1,11,12,11,15,20,46,0.0,1016,20,10,87,8,california
2010-02-17,20,6,0.0,8.7,4,21,08:01 AM,09:15 PM,06:36 AM,05:37 PM,2,12,12,12,13,16,51,0.0,1015,20,10,197,7,california
2010-02-18,20,5,0.0,8.7,3,29,08:29 AM,10:14 PM,06:34 AM,05:38 PM,2,10,11,10,19,19,56,0.0,1012,20,10,272,10,california
2010-02-19,13,5,0.0,8.7,2,36,09:00 AM,11:16 PM,06:33 AM,05:39 PM,4,5,8,5,29,39,76,0.6,1011,13,9,228,18,california
2010-02-20,13,4,0.0,8.7,2,44,09:37 AM,No moonset,06:32 AM,05:40 PM,3,5,8,5,26,40,73,1.0,1011,13,10,265,14,california
2010-02-21,12,4,0.0,7.2,2,51,10:19 AM,12:18 AM,06:31 AM,05:41 PM,3,4,7,4,30,65,81,0.0,1014,12,9,261,19,california
2010-02-22,12,1,0.0,7.2,2,59,11:11 AM,01:22 AM,06:30 AM,05:42 PM,-5,4,6,4,23,30,52,2.0,1019,12,10,125,12,california
2010-02-23,14,-0,0.0,8.7,3,66,12:11 PM,02:23 AM,06:29 AM,05:42 PM,-8,6,7,6,13,22,35,0.0,1023,14,10,161,7,california
2010-02-24,13,4,0.0,5.7,2,74,01:20 PM,03:20 AM,06:27 AM,05:43 PM,3,6,9,6,26,61,71,0.0,1019,13,8,256,15,california
2010-02-25,18,5,0.0,8.7,4,81,02:33 PM,04:09 AM,06:26 AM,05:44 PM,2,9,10,9,14,21,57,0.0,1020,18,10,222,7,california
2010-02-26,18,8,0.0,8.7,3,89,03:48 PM,04:53 AM,06:25 AM,05:45 PM,0,11,12,11,17,46,47,0.0,1017,18,10,132,11,california
2010-02-27,11,4,0.0,7.2,2,97,05:02 PM,05:32 AM,06:24 AM,05:46 PM,5,6,8,6,18,58,87,14.5,1006,11,8,227,10,california
2010-02-28,17,2,0.0,8.7,3,100,06:15 PM,06:06 AM,06:22 AM,05:47 PM,3,8,9,8,12,19,69,0.0,1013,17,9,324,7,california
2010-03-01,17,5,0.0,8.7,4,100,07:27 PM,06:39 AM,06:21 AM,05:48 PM,1,10,11,10,14,19,57,0.0,1018,17,10,138,8,california
2010-03-02,14,5,0.0,8.7,3,85,08:37 PM,07:12 AM,06:20 AM,05:49 PM,4,8,9,8,21,27,74,0.0,1016,14,10,232,12,california
2010-03-03,14,5,0.0,8.7,2,78,09:47 PM,07:46 AM,06:19 AM,05:50 PM,3,6,8,6,28,34,73,0.8,1015,14,8,242,16,california
2010-03-04,11,0,0.0,8.7,3,71,10:54 PM,08:23 AM,06:17 AM,05:50 PM,-2,2,5,2,28,24,65,1.3,1016,11,10,287,17,california
2010-03-05,15,-0,0.0,8.7,3,63,11:58 PM,09:04 AM,06:16 AM,05:51 PM,-3,5,7,5,16,20,51,0.0,1015,15,10,138,9,california
2010-03-06,12,4,0.0,5.7,2,56,No moonrise,09:50 AM,06:15 AM,05:52 PM,0,5,7,5,17,68,65,0.9,1010,12,8,149,10,california
2010-03-07,13,3,0.0,7.2,2,49,12:57 AM,10:40 AM,06:13 AM,05:53 PM,3,6,7,6,16,35,76,2.0,1010,13,9,298,9,california
2010-03-08,13,4,0.0,7.2,2,42,01:50 AM,11:34 AM,06:12 AM,05:54 PM,4,5,8,5,25,51,82,0.0,1016,13,7,272,14,california
2010-03-09,7,-1,0.0,8.7,2,34,02:36 AM,12:30 PM,06:11 AM,05:55 PM,-3,-2,3,-2,34,17,71,0.0,1017,7,9,298,19,california
2010-03-10,10,-1,0.0,8.7,2,27,03:16 AM,01:28 PM,06:09 AM,05:56 PM,-4,-1,3,-1,29,7,68,0.0,1016,10,10,293,17,california
