date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,2,-3,0.0,8.7,1,100,05:48 PM,08:01 AM,07:18 AM,04:31 PM,-3,-3,-1,-3,11,67,89,0.7,1011,2,9,296,7,connecticut
2010-01-02,-1,-9,0.0,3.4,1,85,07:08 PM,08:41 AM,07:18 AM,04:31 PM,-7,-11,-4,-11,43,93,85,3.0,1001,-1,2,318,24,connecticut
2010-01-03,-8,-12,0.0,3.4,1,77,08:26 PM,09:14 AM,07:18 AM,04:32 PM,-12,-19,-10,-19,51,74,81,3.3,996,-8,0,310,30,connecticut
2010-01-04,-3,-9,0.0,8.7,2,70,09:42 PM,09:43 AM,07:18 AM,04:33 PM,-9,-14,-7,-14,35,20,85,0.0,1004,-3,9,311,20,connecticut
2010-01-05,-3,-9,0.0,3.4,1,63,10:54 PM,10:09 AM,07:18 AM,04:34 PM,-9,-13,-6,-13,27,54,84,0.0,1005,-3,9,316,16,connecticut
2010-01-06,-2,-8,0.0,8.7,2,56,No moonrise,10:34 AM,07:18 AM,04:35 PM,-9,-12,-5,-12,29,22,80,0.0,1005,-2,10,312,18,connecticut
2010-01-07,1,-6,0.0,8.7,2,48,12:05 AM,11:01 AM,07:18 AM,04:36 PM,-6,-9,-3,-9,28,17,83,0.0,1010,1,10,301,16,connecticut
2010-01-08,-1,-8,0.0,3.4,1,41,01:15 AM,11:30 AM,07:18 AM,04:37 PM,-7,-8,-4,-8,19,86,87,1.2,1008,-1,4,281,11,connecticut
2010-01-09,-5,-11,0.0,8.7,2,34,02:23 AM,12:03 PM,07:18 AM,04:38 PM,-13,-16,-8,-16,33,9,71,0.0,1017,-5,10,326,19,connecticut
2010-01-10,-5,-13,0.0,8.7,2,27,03:29 AM,12:41 PM,07:18 AM,04:39 PM,-15,-16,-10,-16,22,10,62,0.0,1022,-5,10,318,14,connecticut
2010-01-11,-1,-9,0.0,8.7,2,19,04:30 AM,01:27 PM,07:17 AM,04:40 PM,-9,-10,-6,-10,18,28,79,0.0,1019,-1,10,276,10,connecticut
2010-01-12,-1,-10,0.0,3.5,1,12,05:25 AM,02:18 PM,07:17 AM,04:42 PM,-9,-11,-5,-11,28,50,78,0.0,1016,-1,10,312,16,connecticut
2010-01-13,-3,-11,0.0,8.7,2,5,06:13 AM,03:15 PM,07:17 AM,04:43 PM,-10,-11,-6,-11,24,37,72,0.0,1021,-3,10,299,14,connecticut
2010-01-14,2,-5,0.0,8.7,2,0,06:53 AM,04:15 PM,07:16 AM,04:44 PM,-4,-5,-2,-5,16,16,86,0.0,1023,2,10,233,9,connecticut
