date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,23,13,0.0,8.7,5,100,06:57 PM,06:48 AM,06:04 AM,05:48 PM,9,17,17,17,14,2,48,0.0,1013,23,10,166,6,florida
2010-01-02,25,13,0.0,7.2,4,85,07:58 PM,07:46 AM,06:05 AM,05:48 PM,6,17,17,17,14,3,34,0.1,1012,25,10,171,7,florida
2010-01-03,26,11,0.0,8.7,5,77,08:56 PM,08:38 AM,06:05 AM,05:49 PM,8,18,18,18,15,2,42,0.0,1011,26,10,164,7,florida
2010-01-04,25,12,0.0,8.7,4,70,09:50 PM,09:28 AM,06:05 AM,05:49 PM,10,17,17,17,14,19,56,0.1,1012,25,9,196,7,florida
2010-01-05,25,14,0.0,8.7,5,63,10:42 PM,10:14 AM,06:06 AM,05:50 PM,13,19,19,19,13,12,63,0.0,1013,25,10,203,6,florida
2010-01-06,24,12,0.0,5.8,4,56,11:33 PM,10:59 AM,06:06 AM,05:50 PM,11,17,17,17,13,24,61,1.0,1013,24,10,159,7,florida
2010-01-07,23,13,0.0,7.2,4,48,No moonrise,11:44 AM,06:07 AM,05:51 PM,12,17,18,17,13,28,61,0.9,1012,23,10,176,6,florida
2010-01-08,25,14,0.0,8.7,4,41,12:24 AM,12:30 PM,06:07 AM,05:51 PM,11,18,19,18,13,19,59,0.5,1011,25,10,165,6,florida
2010-01-09,26,14,0.0,8.7,5,34,01:16 AM,01:18 PM,06:07 AM,05:52 PM,11,18,19,18,12,8,59,0.0,1011,26,10,197,6,florida
2010-01-10,23,14,0.0,7.2,4,27,02:09 AM,02:08 PM,06:08 AM,05:52 PM,12,18,18,18,12,31,64,2.8,1012,23,9,203,7,florida
2010-01-11,22,13,0.0,4.3,4,19,03:02 AM,02:59 PM,06:08 AM,05:53 PM,9,16,17,16,14,59,55,9.3,1014,22,10,203,7,florida
2010-01-12,23,13,0.0,5.8,4,12,03:55 AM,03:51 PM,06:08 AM,05:53 PM,9,17,17,17,14,36,45,2.3,1014,23,10,165,7,florida
2010-01-13,25,13,0.0,5.8,4,5,04:46 AM,04:43 PM,06:08 AM,05:54 PM,7,17,18,17,16,45,39,3.9,1014,25,10,174,7,florida
2010-01-14,23,12,0.0,8.7,5,0,05:35 AM,05:33 PM,06:09 AM,05:54 PM,10,17,17,17,14,10,51,0.0,1013,23,10,163,6,florida
2010-01-15,23,14,0.0,8.7,4,0,06:20 AM,06:21 PM,06:09 AM,05:55 PM,12,18,18,18,12,19,59,0.4,1014,23,10,158,5,florida
2010-01-16,27,15,0.0,8.7,4,2,07:03 AM,07:07 PM,06:09 AM,05:55 PM,13,19,20,19,12,17,59,0.1,1013,27,10,166,5,florida
2010-01-17,24,14,0.0,8.7,5,10,07:43 AM,07:52 PM,06:09 AM,05:56 PM,12,18,19,18,13,10,57,0.0,1013,24,10,166,6,florida
2010-01-18,24,14,0.0,8.7,5,17,08:21 AM,08:34 PM,06:10 AM,05:56 PM,12,18,19,18,12,13,58,0.0,1013,24,10,167,5,florida
2010-01-19,26,14,0.0,7.2,4,24,08:59 AM,09:18 PM,06:10 AM,05:56 PM,12,18,19,18,13,20,55,0.8,1012,26,10,164,5,florida
2010-01-20,28,13,0.0,8.7,5,31,09:37 AM,10:01 PM,06:10 AM,05:57 PM,11,20,20,20,15,4,47,0.0,1010,28,10,170,6,florida
2010-01-21,29,16,0.0,8.7,6,39,10:15 AM,10:46 PM,06:10 AM,05:57 PM,13,22,23,22,13,9,52,0.0,1011,29,10,170,6,florida
2010-01-22,28,19,0.0,7.2,5,46,10:56 AM,11:34 PM,06:10 AM,05:58 PM,17,24,24,23,11,29,65,1.1,1011,28,10,203,6,florida
2010-01-23,26,17,0.0,7.2,5,53,11:41 AM,No moonset,06:10 AM,05:58 PM,18,21,22,21,9,54,82,18.6,1011,26,8,189,4,florida
2010-01-24,27,17,0.0,4.3,5,60,12:30 PM,12:26 AM,06:11 AM,05:58 PM,16,21,22,21,12,48,67,3.4,1011,27,10,205,6,florida
2010-01-25,27,18,0.0,8.7,5,68,01:26 PM,01:22 AM,06:11 AM,05:59 PM,17,22,22,22,10,31,72,1.5,1011,27,9,183,5,florida
2010-01-26,23,15,0.0,7.2,4,75,02:25 PM,02:22 AM,06:11 AM,05:59 PM,15,18,18,18,11,56,83,3.7,1012,23,9,152,5,florida
2010-01-27,25,14,0.0,5.8,4,82,03:29 PM,03:24 AM,06:11 AM,05:59 PM,13,18,19,18,13,48,71,5.7,1011,25,10,163,6,florida
2010-01-28,26,13,0.0,10.2,4,90,04:34 PM,04:26 AM,06:11 AM,06:00 PM,9,18,18,18,14,44,48,3.1,1010,26,10,180,7,florida
2010-01-29,28,12,0.0,11.6,4,97,05:38 PM,05:27 AM,06:11 AM,06:00 PM,11,19,20,19,14,20,49,1.0,1010,28,10,166,6,florida
2010-01-30,27,18,0.0,8.8,5,100,06:38 PM,06:22 AM,06:11 AM,06:00 PM,16,23,23,22,11,38,61,3.9,1009,27,10,165,5,florida
2010-01-31,28,17,0.0,10.2,5,100,07:35 PM,07:15 AM,06:11 AM,06:01 PM,16,23,23,22,13,15,60,0.1,1010,28,10,159,6,florida
2010-02-01,28,15,0.0,10.2,5,77,08:30 PM,08:04 AM,06:11 AM,06:01 PM,15,21,22,21,12,29,61,0.9,1010,28,10,166,5,florida
2010-02-02,29,15,0.0,11.6,5,69,09:24 PM,08:51 AM,06:11 AM,06:01 PM,15,21,22,21,11,24,62,0.3,1009,29,10,176,4,florida
2010-02-03,29,15,0.0,11.6,5,62,10:17 PM,09:39 AM,06:11 AM,06:01 PM,16,21,22,21,12,27,70,0.2,1009,29,10,174,5,florida
2010-02-04,28,16,0.0,8.8,5,54,11:11 PM,10:25 AM,06:11 AM,06:02 PM,14,21,21,21,12,29,63,0.8,1009,28,10,168,5,florida
2010-02-05,27,15,0.0,10.2,5,47,No moonrise,11:14 AM,06:11 AM,06:02 PM,14,20,21,20,13,31,64,1.4,1011,27,10,197,6,florida
2010-02-06,27,16,0.0,8.8,5,39,12:04 AM,12:04 PM,06:11 AM,06:02 PM,14,20,21,20,14,55,64,27.1,1011,27,10,203,7,florida
2010-02-07,27,14,0.0,10.2,4,32,12:58 AM,12:56 PM,06:11 AM,06:02 PM,14,19,20,19,13,19,63,0.5,1011,27,9,170,6,florida
2010-02-08,25,14,0.0,10.2,4,24,01:51 AM,01:48 PM,06:10 AM,06:02 PM,14,19,19,19,11,46,71,4.0,1012,25,9,168,5,florida
2010-02-09,25,15,0.0,6.0,4,16,02:42 AM,02:39 PM,06:10 AM,06:03 PM,15,19,19,19,8,75,75,24.1,1012,25,9,163,3,florida
2010-02-10,27,15,0.0,8.8,4,9,03:32 AM,03:30 PM,06:10 AM,06:03 PM,14,20,20,20,10,57,66,8.6,1010,27,10,181,5,florida
2010-02-11,27,15,0.0,8.8,4,1,04:18 AM,04:18 PM,06:10 AM,06:03 PM,12,19,19,19,14,54,60,5.7,1009,27,10,190,7,florida
2010-02-12,27,14,0.0,11.6,5,0,05:02 AM,05:05 PM,06:10 AM,06:03 PM,13,19,20,19,13,17,60,0.0,1010,27,10,219,6,florida
2010-02-13,25,16,0.0,10.2,4,0,05:43 AM,05:50 PM,06:10 AM,06:03 PM,15,20,21,20,9,45,76,1.1,1011,25,9,210,4,florida
