date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-0,-4,3.8,6.8,1,100,06:28 PM,08:49 AM,08:01 AM,05:03 PM,-2,-6,-2,-6,20,98,99,7.7,1027,-0,2,175,13,idaho
2010-01-02,1,-1,0.0,6.8,1,85,07:51 PM,09:27 AM,08:01 AM,05:04 PM,-0,-4,-0,-4,21,90,99,0.0,1024,1,4,226,10,idaho
2010-01-03,-1,-9,0.0,9.0,2,77,09:10 PM,09:57 AM,08:01 AM,05:05 PM,-4,-5,-4,-5,6,52,99,0.0,1031,-1,5,157,3,idaho
2010-01-04,-1,-9,0.0,6.8,1,70,10:26 PM,10:24 AM,08:01 AM,05:06 PM,-4,-8,-6,-8,9,72,98,0.0,1030,-1,3,172,5,idaho
2010-01-05,-0,-6,0.0,6.8,1,63,11:41 PM,10:48 AM,08:01 AM,05:07 PM,-3,-7,-3,-7,18,84,98,0.1,1022,-0,4,190,11,idaho
2010-01-06,1,-18,0.0,8.8,1,56,No moonrise,11:13 AM,08:01 AM,05:08 PM,-6,-10,-5,-10,27,48,96,0.8,1027,1,6,122,14,idaho
2010-01-07,-10,-24,0.0,9.0,2,48,12:53 AM,11:38 AM,08:01 AM,05:09 PM,-17,-24,-19,-24,15,7,95,0.0,1039,-10,4,124,7,idaho
2010-01-08,-8,-22,0.0,9.0,2,41,02:04 AM,12:06 PM,08:01 AM,05:10 PM,-15,-22,-17,-22,14,7,95,0.0,1036,-8,6,136,7,idaho
2010-01-09,-6,-16,0.0,9.1,2,34,03:13 AM,12:38 PM,08:00 AM,05:11 PM,-12,-16,-12,-16,13,22,94,0.0,1035,-6,7,129,7,idaho
2010-01-10,-3,-12,0.0,9.1,2,27,04:19 AM,01:17 PM,08:00 AM,05:12 PM,-10,-12,-9,-12,13,24,95,0.0,1033,-3,5,88,6,idaho
2010-01-11,-1,-12,0.0,9.1,2,19,05:21 AM,02:02 PM,08:00 AM,05:13 PM,-7,-11,-8,-11,14,27,98,0.0,1032,-1,0,117,7,idaho
2010-01-12,-0,-10,0.0,8.5,1,12,06:15 AM,02:54 PM,07:59 AM,05:14 PM,-5,-9,-5,-9,14,43,97,0.6,1026,-0,4,131,8,idaho
2010-01-13,1,-7,0.0,8.3,1,5,07:02 AM,03:52 PM,07:59 AM,05:15 PM,-2,-5,-3,-5,12,65,99,0.0,1019,1,1,127,6,idaho
2010-01-14,0,-3,0.0,7.5,1,0,07:40 AM,04:54 PM,07:59 AM,05:17 PM,-1,-4,-1,-4,15,88,99,0.5,1027,0,2,227,8,idaho
2010-01-15,-1,-8,0.0,9.6,2,0,08:12 AM,05:56 PM,07:58 AM,05:18 PM,-4,-7,-4,-7,12,50,98,0.0,1031,-1,1,171,6,idaho
2010-01-16,-0,-8,0.0,8.8,1,2,08:39 AM,06:59 PM,07:58 AM,05:19 PM,-5,-8,-5,-8,13,50,97,0.0,1021,-0,1,143,7,idaho
2010-01-17,1,-11,0.0,9.0,1,10,09:02 AM,08:01 PM,07:57 AM,05:20 PM,-5,-9,-6,-9,13,39,98,0.0,1017,1,1,125,7,idaho
2010-01-18,1,-4,0.0,7.5,1,17,09:23 AM,09:02 PM,07:56 AM,05:22 PM,-1,-4,-1,-4,13,81,99,0.9,1010,1,4,164,7,idaho
2010-01-19,1,-6,3.0,7.5,1,24,09:43 AM,10:03 PM,07:56 AM,05:23 PM,-1,-4,-1,-4,23,77,99,4.5,1003,1,2,171,11,idaho
2010-01-20,0,-7,0.0,8.0,1,31,10:02 AM,11:05 PM,07:55 AM,05:24 PM,-4,-7,-4,-7,16,59,97,1.7,1003,0,3,133,7,idaho
2010-01-21,0,-5,0.9,7.8,1,39,10:23 AM,No moonset,07:54 AM,05:25 PM,-2,-5,-2,-5,19,61,98,4.0,996,0,3,118,9,idaho
2010-01-22,1,-4,3.9,7.5,1,46,10:47 AM,12:09 AM,07:54 AM,05:27 PM,-2,-6,-2,-6,27,70,98,6.3,989,1,7,160,15,idaho
2010-01-23,-2,-5,0.0,7.5,1,53,11:15 AM,01:16 AM,07:53 AM,05:28 PM,-4,-9,-3,-9,33,82,99,0.3,1005,-2,6,236,19,idaho
