date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-12,-18,0.0,3.4,1,100,06:07 PM,08:19 AM,07:33 AM,04:46 PM,-15,-25,-16,-25,28,90,91,0.0,1032,-12,8,309,19,iowa
2010-01-02,-17,-22,0.0,8.7,2,85,07:28 PM,08:58 AM,07:34 AM,04:47 PM,-18,-28,-20,-28,19,29,90,0.0,1036,-17,10,317,12,iowa
2010-01-03,-15,-23,0.0,8.7,2,77,08:45 PM,09:31 AM,07:34 AM,04:48 PM,-18,-28,-19,-28,20,15,90,0.0,1036,-15,10,174,13,iowa
2010-01-04,-14,-20,0.0,8.7,2,70,10:01 PM,09:59 AM,07:34 AM,04:49 PM,-17,-27,-18,-27,30,24,91,0.0,1033,-14,10,322,19,iowa
2010-01-05,-12,-19,0.0,8.7,2,63,11:13 PM,10:25 AM,07:34 AM,04:50 PM,-16,-25,-17,-25,26,9,90,0.0,1030,-12,10,313,16,iowa
2010-01-06,-9,-20,0.4,6.9,1,56,No moonrise,10:51 AM,07:33 AM,04:51 PM,-13,-17,-14,-17,10,61,90,3.2,1026,-9,7,216,6,iowa
2010-01-07,-8,-11,0.4,3.4,1,48,12:24 AM,11:18 AM,07:33 AM,04:52 PM,-11,-17,-10,-17,31,100,95,5.6,1019,-8,1,306,21,iowa
2010-01-08,-10,-16,0.0,3.5,1,41,01:34 AM,11:47 AM,07:33 AM,04:53 PM,-12,-21,-12,-21,30,99,92,0.0,1031,-10,6,324,21,iowa
2010-01-09,-14,-21,0.0,8.7,1,34,02:41 AM,12:20 PM,07:33 AM,04:54 PM,-16,-25,-18,-25,19,40,93,0.0,1037,-14,6,316,12,iowa
2010-01-10,-5,-21,0.0,8.7,1,27,03:47 AM,12:59 PM,07:33 AM,04:55 PM,-13,-22,-13,-22,32,44,89,0.1,1029,-5,9,227,21,iowa
2010-01-11,-5,-11,0.0,3.5,1,19,04:48 AM,01:45 PM,07:32 AM,04:56 PM,-7,-14,-8,-14,28,85,93,0.0,1027,-5,7,323,18,iowa
2010-01-12,-6,-15,0.0,8.7,2,12,05:43 AM,02:36 PM,07:32 AM,04:57 PM,-9,-16,-10,-16,20,19,94,0.0,1031,-6,8,230,12,iowa
2010-01-13,3,-7,0.0,8.7,2,5,06:30 AM,03:34 PM,07:32 AM,04:59 PM,-3,-8,-2,-8,34,29,94,0.0,1019,3,10,208,21,iowa
2010-01-14,3,-2,0.0,3.6,1,0,07:10 AM,04:34 PM,07:31 AM,05:00 PM,1,-3,1,-3,27,91,97,0.0,1018,3,6,265,16,iowa
2010-01-15,-1,-6,0.0,8.7,1,0,07:43 AM,05:36 PM,07:31 AM,05:01 PM,-4,-5,-3,-5,11,36,92,0.0,1026,-1,5,306,6,iowa
2010-01-16,0,-7,0.0,8.7,2,2,08:11 AM,06:37 PM,07:31 AM,05:02 PM,-6,-8,-4,-8,16,22,87,0.0,1021,0,10,235,8,iowa
2010-01-17,1,-5,0.0,8.7,2,10,08:36 AM,07:38 PM,07:30 AM,05:03 PM,-4,-6,-2,-6,18,11,91,0.0,1014,1,10,275,9,iowa
2010-01-18,0,-5,0.0,8.7,2,17,08:58 AM,08:37 PM,07:29 AM,05:04 PM,-5,-6,-3,-6,14,19,93,0.0,1016,0,8,116,8,iowa
2010-01-19,-0,-7,0.0,8.7,2,24,09:19 AM,09:37 PM,07:29 AM,05:06 PM,-6,-9,-4,-9,18,5,92,0.0,1016,-0,7,85,11,iowa
2010-01-20,-0,-5,1.9,3.7,1,31,09:40 AM,10:38 PM,07:28 AM,05:07 PM,-3,-9,-2,-9,46,74,94,8.6,1010,-0,5,91,29,iowa
2010-01-21,0,-1,0.0,3.7,1,39,10:02 AM,11:41 PM,07:28 AM,05:08 PM,-1,-5,-0,-5,31,100,96,0.7,1009,0,6,68,20,iowa
2010-01-22,1,-1,0.0,3.7,1,46,10:27 AM,No moonset,07:27 AM,05:09 PM,-0,-4,0,-4,23,88,97,0.0,1013,1,6,92,15,iowa
2010-01-23,4,0,0.0,3.7,1,53,10:56 AM,12:45 AM,07:26 AM,05:11 PM,2,-3,2,-3,41,100,98,16.5,1004,4,5,143,25,iowa
2010-01-24,3,-2,0.0,3.7,1,60,11:31 AM,01:53 AM,07:26 AM,05:12 PM,-0,-4,1,-4,34,96,94,10.3,994,3,8,271,22,iowa
2010-01-25,-1,-8,0.0,3.7,1,68,12:15 PM,03:02 AM,07:25 AM,05:13 PM,-5,-11,-4,-11,44,98,91,3.7,997,-1,1,276,30,iowa
2010-01-26,-8,-11,0.0,3.7,1,75,01:11 PM,04:09 AM,07:24 AM,05:14 PM,-11,-18,-9,-18,37,89,83,0.0,1016,-8,3,291,27,iowa
2010-01-27,-4,-13,0.0,3.7,1,82,02:18 PM,05:12 AM,07:23 AM,05:16 PM,-10,-16,-9,-16,27,74,85,0.4,1023,-4,8,272,18,iowa
2010-01-28,-11,-16,0.0,8.7,1,90,03:35 PM,06:05 AM,07:22 AM,05:17 PM,-15,-21,-13,-21,26,48,80,0.0,1034,-11,10,325,17,iowa
2010-01-29,-8,-16,0.0,8.7,2,97,04:55 PM,06:49 AM,07:21 AM,05:18 PM,-15,-19,-13,-19,17,25,78,0.0,1033,-8,10,85,11,iowa
2010-01-30,-6,-16,0.0,8.7,2,100,06:16 PM,07:26 AM,07:20 AM,05:19 PM,-13,-16,-12,-16,15,32,89,0.0,1026,-6,10,170,8,iowa
2010-01-31,-5,-16,0.0,8.7,2,100,07:36 PM,07:57 AM,07:19 AM,05:21 PM,-12,-17,-11,-17,19,21,91,0.0,1027,-5,9,261,11,iowa
2010-02-01,0,-12,0.0,5.4,1,77,08:52 PM,08:25 AM,07:18 AM,05:22 PM,-6,-10,-5,-10,21,74,92,0.8,1023,0,7,111,13,iowa
2010-02-02,-1,-8,0.0,3.8,1,69,10:07 PM,08:52 AM,07:17 AM,05:23 PM,-5,-10,-4,-10,26,100,96,0.6,1019,-1,5,257,17,iowa
2010-02-03,-3,-12,0.0,7.1,1,62,11:20 PM,09:20 AM,07:16 AM,05:25 PM,-9,-12,-8,-12,15,49,94,0.0,1027,-3,5,238,9,iowa
2010-02-04,-0,-6,0.0,8.7,1,54,No moonrise,09:49 AM,07:15 AM,05:26 PM,-4,-8,-3,-8,24,62,91,0.0,1025,-0,10,123,14,iowa
2010-02-05,0,-2,0.0,3.8,1,47,12:30 AM,10:21 AM,07:14 AM,05:27 PM,-2,-7,-1,-7,33,97,94,0.9,1017,0,3,59,21,iowa
2010-02-06,-1,-7,0.0,3.8,1,39,01:39 AM,10:59 AM,07:13 AM,05:28 PM,-5,-9,-4,-9,26,86,91,0.0,1022,-1,8,28,16,iowa
2010-02-07,-2,-9,0.0,3.8,1,32,02:42 AM,11:43 AM,07:12 AM,05:30 PM,-7,-10,-6,-10,17,78,94,0.8,1022,-2,3,104,10,iowa
2010-02-08,-2,-5,0.0,3.8,1,24,03:39 AM,12:32 PM,07:11 AM,05:31 PM,-5,-9,-4,-9,25,100,95,3.8,1019,-2,3,118,16,iowa
2010-02-09,-3,-12,1.0,3.8,1,16,04:28 AM,01:28 PM,07:09 AM,05:32 PM,-7,-13,-7,-13,27,100,95,6.2,1016,-3,1,294,17,iowa
2010-02-10,-6,-13,0.0,7.1,1,9,05:10 AM,02:27 PM,07:08 AM,05:34 PM,-8,-16,-8,-16,32,62,91,0.0,1023,-6,8,317,22,iowa
2010-02-11,-5,-17,0.0,8.7,2,1,05:46 AM,03:28 PM,07:07 AM,05:35 PM,-10,-13,-11,-13,10,33,83,0.0,1022,-5,10,287,5,iowa
2010-02-12,-2,-9,0.0,3.9,1,0,06:15 AM,04:29 PM,07:06 AM,05:36 PM,-6,-9,-6,-9,9,93,89,0.1,1019,-2,7,220,6,iowa
