date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,31,14,0.0,8.7,6,100,06:52 PM,07:05 AM,06:34 AM,05:57 PM,-4,21,21,21,23,0,19,0.0,1014,31,10,40,12,maine
2010-01-02,31,14,0.0,8.7,6,85,07:56 PM,08:01 AM,06:35 AM,05:57 PM,-7,21,21,21,22,0,16,0.0,1014,31,10,33,11,maine
2010-01-03,31,14,0.0,8.7,6,77,08:57 PM,08:52 AM,06:35 AM,05:58 PM,-4,22,21,22,22,0,19,0.0,1013,31,10,42,11,maine
2010-01-04,30,14,0.0,8.7,6,70,09:55 PM,09:39 AM,06:35 AM,05:58 PM,-4,21,20,21,23,0,19,0.0,1013,30,10,44,13,maine
2010-01-05,30,14,0.0,8.7,6,63,10:51 PM,10:23 AM,06:36 AM,05:59 PM,-3,21,20,21,23,0,21,0.0,1013,30,10,38,12,maine
2010-01-06,31,14,0.0,8.7,6,56,11:45 PM,11:05 AM,06:36 AM,05:59 PM,-4,21,20,21,21,0,19,0.0,1013,31,10,37,11,maine
2010-01-07,31,14,0.0,11.6,6,48,No moonrise,11:48 AM,06:36 AM,06:00 PM,-7,21,21,21,20,0,15,0.0,1012,31,10,41,11,maine
2010-01-08,32,14,0.0,11.6,6,41,12:38 AM,12:31 PM,06:37 AM,06:00 PM,-8,21,21,21,19,0,13,0.0,1012,32,10,44,10,maine
2010-01-09,33,14,0.0,11.6,6,34,01:33 AM,01:16 PM,06:37 AM,06:01 PM,-3,22,22,22,18,0,18,0.0,1011,33,10,40,10,maine
2010-01-10,34,16,0.0,11.6,6,27,02:27 AM,02:04 PM,06:37 AM,06:02 PM,-0,23,23,24,21,0,20,0.0,1010,34,10,50,12,maine
2010-01-11,34,17,0.0,11.6,6,19,03:22 AM,02:54 PM,06:37 AM,06:02 PM,-0,24,24,25,23,0,20,0.0,1011,34,10,40,13,maine
2010-01-12,34,17,0.0,11.6,6,12,04:15 AM,03:46 PM,06:38 AM,06:03 PM,-2,24,24,24,25,0,19,0.0,1012,34,10,41,14,maine
2010-01-13,32,15,0.0,11.6,6,5,05:06 AM,04:38 PM,06:38 AM,06:03 PM,-9,22,22,23,21,0,12,0.0,1012,32,10,16,11,maine
2010-01-14,33,14,0.0,11.6,6,0,05:55 AM,05:30 PM,06:38 AM,06:04 PM,-7,22,22,23,20,3,14,0.0,1012,33,10,23,11,maine
2010-01-15,33,15,0.0,10.2,5,0,06:39 AM,06:20 PM,06:38 AM,06:04 PM,-7,22,22,23,20,32,14,0.0,1013,33,10,23,10,maine
2010-01-16,34,16,0.0,11.6,6,2,07:21 AM,07:09 PM,06:38 AM,06:05 PM,-11,23,23,23,18,1,10,0.0,1013,34,10,178,10,maine
2010-01-17,29,16,0.0,11.6,6,10,07:59 AM,07:56 PM,06:38 AM,06:05 PM,-6,22,21,22,30,0,15,0.0,1016,29,10,20,16,maine
2010-01-18,27,12,0.0,11.6,5,17,08:35 AM,08:41 PM,06:39 AM,06:06 PM,-5,18,18,18,26,0,20,0.0,1018,27,10,19,14,maine
2010-01-19,28,11,0.0,11.6,5,24,09:11 AM,09:27 PM,06:39 AM,06:06 PM,-3,19,19,19,24,0,24,0.0,1016,28,10,33,12,maine
2010-01-20,29,12,0.0,11.6,5,31,09:46 AM,10:12 PM,06:39 AM,06:07 PM,-2,20,19,20,25,0,23,0.0,1015,29,10,40,13,maine
2010-01-21,30,14,0.0,11.6,6,39,10:22 AM,10:59 PM,06:39 AM,06:07 PM,-3,21,20,21,25,0,21,0.0,1015,30,10,40,13,maine
2010-01-22,32,15,0.0,11.6,6,46,11:00 AM,11:49 PM,06:39 AM,06:08 PM,-5,22,21,22,23,0,17,0.0,1013,32,10,39,12,maine
2010-01-23,33,16,0.0,11.6,6,53,11:42 AM,No moonset,06:39 AM,06:08 PM,-5,22,22,23,23,0,15,0.0,1012,33,10,40,12,maine
2010-01-24,35,17,0.0,11.6,7,60,12:27 PM,12:42 AM,06:39 AM,06:09 PM,-2,24,24,25,23,0,16,0.0,1010,35,10,48,13,maine
2010-01-25,36,19,0.0,11.6,7,68,01:20 PM,01:39 AM,06:39 AM,06:09 PM,-0,25,25,26,23,4,17,0.0,1009,36,10,54,13,maine
2010-01-26,39,19,0.0,11.6,7,75,02:17 PM,02:39 AM,06:39 AM,06:10 PM,0,27,27,28,22,1,17,0.0,1009,39,10,70,13,maine
2010-01-27,38,19,0.0,11.6,7,82,03:21 PM,03:42 AM,06:39 AM,06:10 PM,1,27,27,28,22,0,18,0.0,1008,38,10,79,12,maine
2010-01-28,38,19,0.0,11.6,7,90,04:27 PM,04:43 AM,06:39 AM,06:11 PM,0,27,27,28,20,0,17,0.0,1008,38,10,80,12,maine
2010-01-29,39,20,0.0,11.6,7,97,05:33 PM,05:42 AM,06:39 AM,06:11 PM,-1,28,28,28,17,0,15,0.0,1007,39,10,76,9,maine
2010-01-30,40,20,0.0,11.6,7,100,06:37 PM,06:37 AM,06:39 AM,06:12 PM,-1,27,27,28,16,1,17,0.0,1008,40,10,117,7,maine
2010-01-31,38,19,0.0,11.6,7,100,07:38 PM,07:27 AM,06:38 AM,06:12 PM,-5,26,26,27,21,0,12,0.0,1009,38,10,144,10,maine
2010-02-01,37,20,0.0,11.6,7,77,08:37 PM,08:14 AM,06:38 AM,06:12 PM,-6,26,26,27,25,0,10,0.0,1010,37,10,26,14,maine
2010-02-02,35,20,0.0,11.6,7,69,09:34 PM,08:58 AM,06:38 AM,06:13 PM,-10,26,26,27,26,0,8,0.0,1011,35,10,17,15,maine
2010-02-03,35,18,0.0,11.6,7,62,10:30 PM,09:43 AM,06:38 AM,06:13 PM,-12,24,24,25,24,3,8,0.0,1012,35,10,29,14,maine
2010-02-04,33,18,0.0,11.6,6,54,11:26 PM,10:27 AM,06:38 AM,06:14 PM,-5,23,23,24,28,0,14,0.0,1013,33,10,43,16,maine
2010-02-05,32,17,0.0,11.6,6,47,No moonrise,11:13 AM,06:38 AM,06:14 PM,-0,22,22,23,27,0,22,0.0,1014,32,10,45,14,maine
2010-02-06,30,17,0.0,11.6,6,39,12:21 AM,12:01 PM,06:37 AM,06:14 PM,-2,22,22,22,26,0,19,0.0,1013,30,10,42,14,maine
2010-02-07,31,15,0.0,11.6,6,32,01:17 AM,12:50 PM,06:37 AM,06:15 PM,-4,22,21,22,24,0,18,0.0,1012,31,10,47,13,maine
2010-02-08,32,15,0.0,11.6,6,24,02:11 AM,01:42 PM,06:37 AM,06:15 PM,-4,22,21,22,21,0,18,0.0,1011,32,10,47,11,maine
2010-02-09,34,14,0.0,11.6,6,16,03:03 AM,02:34 PM,06:36 AM,06:15 PM,-3,22,22,23,16,0,19,0.0,1010,34,10,77,8,maine
2010-02-10,36,16,0.0,11.6,6,9,03:52 AM,03:26 PM,06:36 AM,06:16 PM,-8,24,24,24,14,1,12,0.0,1009,36,10,78,6,maine
2010-02-11,37,16,0.0,11.6,7,1,04:37 AM,04:16 PM,06:36 AM,06:16 PM,-8,25,25,25,16,2,12,0.0,1008,37,10,74,7,maine
2010-02-12,37,19,0.0,11.6,7,0,05:20 AM,05:05 PM,06:36 AM,06:16 PM,-6,26,26,27,17,17,12,0.0,1008,37,10,50,8,maine
2010-02-13,38,20,0.0,11.6,7,0,05:59 AM,05:53 PM,06:35 AM,06:17 PM,-4,27,27,28,20,25,13,0.0,1009,38,10,37,10,maine
2010-02-14,39,19,0.0,11.6,7,0,06:36 AM,06:39 PM,06:35 AM,06:17 PM,2,28,28,28,17,8,20,0.0,1008,39,10,24,8,maine
2010-02-15,39,20,0.0,11.6,7,6,07:12 AM,07:25 PM,06:34 AM,06:17 PM,-5,28,28,29,16,29,12,0.0,1008,39,10,223,7,maine
2010-02-16,40,21,0.0,11.6,7,13,07:48 AM,08:10 PM,06:34 AM,06:18 PM,-6,29,29,30,21,6,9,0.0,1008,40,10,24,12,maine
2010-02-17,40,23,0.0,11.6,8,21,08:23 AM,08:57 PM,06:34 AM,06:18 PM,-5,29,29,30,23,1,10,0.0,1008,40,10,43,14,maine
2010-02-18,40,24,0.0,11.6,8,29,09:00 AM,09:45 PM,06:33 AM,06:18 PM,-4,30,30,31,28,0,11,0.0,1009,40,10,37,15,maine
2010-02-19,42,24,0.0,11.6,8,36,09:40 AM,10:36 PM,06:33 AM,06:18 PM,-4,30,30,31,26,0,10,0.0,1009,42,10,44,15,maine
2010-02-20,41,23,0.0,11.6,8,44,10:23 AM,11:30 PM,06:32 AM,06:19 PM,-0,30,30,31,23,0,15,0.0,1008,41,10,39,12,maine
2010-02-21,41,22,0.0,11.6,8,51,11:12 AM,No moonset,06:32 AM,06:19 PM,-3,30,30,31,25,3,12,0.0,1007,41,10,50,14,maine
2010-02-22,42,23,0.0,11.6,8,59,12:05 PM,12:27 AM,06:31 AM,06:19 PM,-4,30,30,31,25,0,10,0.0,1007,42,10,51,13,maine
2010-02-23,42,22,0.0,11.6,8,66,01:04 PM,01:27 AM,06:31 AM,06:19 PM,-8,30,30,31,26,0,9,0.0,1008,42,10,53,13,maine
2010-02-24,40,21,0.0,11.6,7,74,02:06 PM,02:26 AM,06:30 AM,06:19 PM,-12,29,29,30,23,0,7,0.0,1007,40,10,52,13,maine
2010-02-25,42,22,0.0,11.6,8,81,03:11 PM,03:25 AM,06:30 AM,06:20 PM,-9,29,29,30,22,0,8,0.0,1006,42,10,49,12,maine
2010-02-26,39,22,0.0,11.6,8,89,04:14 PM,04:20 AM,06:29 AM,06:20 PM,-3,29,29,30,27,0,12,0.0,1008,39,10,43,15,maine
2010-02-27,39,23,0.0,11.6,7,97,05:17 PM,05:12 AM,06:29 AM,06:20 PM,-4,28,28,29,30,0,12,0.0,1010,39,10,51,16,maine
2010-02-28,38,21,0.0,11.6,7,100,06:17 PM,06:00 AM,06:28 AM,06:20 PM,-6,27,27,28,30,0,11,0.0,1011,38,10,54,16,maine
2010-03-01,38,21,0.0,11.6,7,100,07:16 PM,06:46 AM,06:28 AM,06:20 PM,-5,27,27,28,30,0,12,0.0,1012,38,10,57,17,maine
2010-03-02,38,21,0.0,11.6,7,85,08:13 PM,07:32 AM,06:27 AM,06:21 PM,-0,27,27,28,29,0,17,0.0,1013,38,10,56,16,maine
2010-03-03,37,21,0.0,11.6,7,78,09:12 PM,08:17 AM,06:27 AM,06:21 PM,-2,27,27,28,28,0,16,0.0,1012,37,10,56,16,maine
2010-03-04,38,21,0.0,11.6,7,71,10:09 PM,09:04 AM,06:26 AM,06:21 PM,-4,27,27,28,27,0,13,0.0,1011,38,10,55,16,maine
2010-03-05,39,21,0.0,11.6,7,63,11:07 PM,09:53 AM,06:26 AM,06:21 PM,-5,28,28,29,28,0,12,0.0,1010,39,10,59,16,maine
2010-03-06,39,22,0.0,11.6,7,56,No moonrise,10:44 AM,06:25 AM,06:21 PM,-7,28,28,29,24,0,10,0.0,1009,39,10,58,13,maine
2010-03-07,40,20,0.0,11.6,7,49,12:03 AM,11:36 AM,06:24 AM,06:21 PM,-8,28,28,29,19,0,9,0.0,1008,40,10,122,9,maine
2010-03-08,41,21,0.0,11.6,7,42,12:57 AM,12:28 PM,06:24 AM,06:21 PM,-12,29,29,30,18,0,7,0.0,1007,41,10,139,9,maine
2010-03-09,42,22,0.0,11.6,8,34,01:48 AM,01:21 PM,06:23 AM,06:22 PM,-7,30,30,30,16,4,9,0.0,1005,42,10,60,8,maine
2010-03-10,43,20,0.0,11.6,8,27,02:35 AM,02:12 PM,06:23 AM,06:22 PM,-5,30,30,31,14,2,12,0.0,1005,43,10,135,6,maine
2010-03-11,43,23,0.0,11.6,8,20,03:18 AM,03:02 PM,06:22 AM,06:22 PM,-6,31,31,32,18,3,9,0.0,1006,43,10,123,9,maine
2010-03-12,44,24,0.0,11.6,8,12,03:59 AM,03:50 PM,06:21 AM,06:22 PM,-3,32,32,32,19,0,11,0.0,1006,44,10,102,10,maine
2010-03-13,43,23,0.0,11.6,8,5,04:36 AM,04:36 PM,06:21 AM,06:22 PM,-2,31,31,32,18,1,13,0.0,1004,43,10,89,9,maine
2010-03-14,43,23,0.0,11.6,8,0,05:13 AM,05:22 PM,06:20 AM,06:22 PM,-0,31,31,32,11,9,17,0.0,1004,43,10,219,5,maine
2010-03-15,43,23,0.0,11.6,8,0,05:48 AM,06:08 PM,06:19 AM,06:22 PM,-0,32,32,32,15,3,14,0.0,1004,43,10,203,7,maine
2010-03-16,42,24,0.0,11.6,8,2,06:24 AM,06:54 PM,06:19 AM,06:22 PM,-1,32,32,33,20,10,12,0.0,1006,42,10,117,12,maine
2010-03-17,41,26,0.0,11.6,8,9,07:01 AM,07:43 PM,06:18 AM,06:22 PM,1,31,31,33,24,25,13,0.0,1008,41,10,75,14,maine
2010-03-18,36,25,0.0,11.6,7,16,07:41 AM,08:33 PM,06:17 AM,06:22 PM,1,28,28,30,31,5,16,0.0,1012,36,10,57,16,maine
2010-03-19,35,22,0.0,11.6,7,24,08:23 AM,09:26 PM,06:17 AM,06:22 PM,0,26,26,27,32,5,18,0.0,1014,35,10,47,18,maine
2010-03-20,33,21,0.0,11.6,7,31,09:10 AM,10:22 PM,06:16 AM,06:23 PM,-2,24,24,25,31,0,17,0.0,1014,33,10,46,17,maine
2010-03-21,32,19,0.0,11.6,6,38,10:01 AM,11:20 PM,06:15 AM,06:23 PM,-3,24,24,25,30,0,16,0.0,1015,32,10,49,16,maine
2010-03-22,33,18,0.0,11.6,6,46,10:56 AM,No moonset,06:15 AM,06:23 PM,-6,24,24,24,28,0,14,0.0,1013,33,10,45,15,maine
2010-03-23,33,17,0.0,11.6,6,53,11:56 AM,12:17 AM,06:14 AM,06:23 PM,-8,23,23,24,27,0,12,0.0,1011,33,10,46,14,maine
2010-03-24,34,17,0.0,11.6,6,60,12:57 PM,01:15 AM,06:13 AM,06:23 PM,-9,23,23,24,25,0,12,0.0,1010,34,10,49,12,maine
2010-03-25,36,17,0.0,11.6,7,67,01:59 PM,02:09 AM,06:13 AM,06:23 PM,-9,24,24,25,26,0,10,0.0,1011,36,10,51,14,maine
2010-03-26,37,21,0.0,11.6,7,75,02:59 PM,03:00 AM,06:12 AM,06:23 PM,-9,27,27,28,28,0,9,0.0,1012,37,10,45,15,maine
