date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,5,-2,0.0,8.7,1,100,06:16 PM,07:45 AM,06:59 AM,04:58 PM,-0,-1,3,-1,28,24,84,1.2,1027,5,10,340,17,mississippi
2010-01-02,2,-3,0.0,8.7,2,85,07:31 PM,08:30 AM,07:00 AM,04:59 PM,-10,-5,-1,-5,21,8,55,0.0,1029,2,10,164,14,mississippi
2010-01-03,3,-4,0.0,8.7,2,77,08:42 PM,09:09 AM,07:00 AM,05:00 PM,-16,-6,-2,-6,18,34,35,0.0,1027,3,10,93,12,mississippi
2010-01-04,-1,-6,0.0,7.1,1,70,09:51 PM,09:44 AM,07:00 AM,05:01 PM,-17,-9,-4,-9,23,39,35,0.0,1027,-1,10,264,14,mississippi
2010-01-05,1,-8,0.0,8.7,2,63,10:57 PM,10:15 AM,07:00 AM,05:02 PM,-15,-10,-5,-10,21,8,46,0.0,1029,1,10,312,13,mississippi
2010-01-06,4,-8,0.0,8.7,2,56,No moonrise,10:47 AM,07:00 AM,05:02 PM,-16,-5,-3,-5,11,21,40,0.0,1026,4,10,169,6,mississippi
2010-01-07,1,-6,0.0,3.8,1,48,12:02 AM,11:19 AM,07:00 AM,05:03 PM,-8,-6,-2,-6,22,62,66,3.6,1022,1,7,247,13,mississippi
2010-01-08,-3,-9,0.0,8.7,2,41,01:06 AM,11:54 AM,07:00 AM,05:04 PM,-16,-13,-6,-13,28,18,50,0.0,1029,-3,10,330,17,mississippi
2010-01-09,-1,-10,0.0,8.7,2,34,02:09 AM,12:31 PM,07:00 AM,05:05 PM,-11,-12,-6,-12,22,10,73,0.0,1033,-1,10,342,14,mississippi
2010-01-10,-0,-10,0.0,8.7,2,27,03:10 AM,01:14 PM,07:00 AM,05:06 PM,-12,-10,-6,-10,19,2,67,0.0,1036,-0,10,326,11,mississippi
2010-01-11,7,-8,0.0,8.7,2,19,04:09 AM,02:02 PM,07:00 AM,05:07 PM,-10,-5,-1,-5,20,13,55,0.0,1030,7,10,239,11,mississippi
2010-01-12,4,-4,0.0,8.7,1,12,05:03 AM,02:54 PM,07:00 AM,05:08 PM,-5,-4,-0,-4,20,16,73,0.0,1030,4,10,255,11,mississippi
2010-01-13,8,-5,0.0,8.7,2,5,05:52 AM,03:49 PM,07:00 AM,05:09 PM,-6,-2,-0,-2,11,3,71,0.0,1029,8,10,163,5,mississippi
2010-01-14,10,-3,0.0,8.7,2,0,06:34 AM,04:46 PM,06:59 AM,05:10 PM,-3,-0,2,-0,14,23,70,0.0,1025,10,10,159,8,mississippi
2010-01-15,12,-1,0.0,8.7,3,0,07:12 AM,05:43 PM,06:59 AM,05:10 PM,-1,3,5,3,17,13,68,0.0,1024,12,10,89,9,mississippi
2010-01-16,10,6,0.0,3.9,2,2,07:44 AM,06:39 PM,06:59 AM,05:11 PM,7,6,8,6,29,75,90,36.8,1014,10,8,74,16,mississippi
2010-01-17,11,6,0.0,3.9,2,10,08:13 AM,07:35 PM,06:59 AM,05:12 PM,8,6,9,6,28,85,95,17.8,1008,11,8,262,17,mississippi
2010-01-18,15,3,0.0,7.1,2,17,08:40 AM,08:30 PM,06:58 AM,05:13 PM,7,7,8,7,15,59,92,0.0,1018,15,4,217,8,mississippi
2010-01-19,16,6,0.0,7.1,3,24,09:07 AM,09:25 PM,06:58 AM,05:14 PM,9,9,11,9,23,39,90,0.0,1016,16,7,184,14,mississippi
2010-01-20,17,11,0.0,5.5,3,31,09:33 AM,10:20 PM,06:58 AM,05:15 PM,13,13,14,13,28,84,93,3.8,1010,17,9,165,16,mississippi
2010-01-21,20,11,0.0,7.1,4,39,10:00 AM,11:18 PM,06:57 AM,05:16 PM,14,15,16,15,31,44,89,52.3,1002,20,9,212,16,mississippi
