date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,20,17,0.0,9.0,4,100,08:34 PM,05:58 AM,05:58 AM,08:04 PM,17,19,19,19,10,84,97,12.7,1015,20,7,46,4,new%20mexico
2010-01-02,22,18,0.0,9.0,4,85,09:22 PM,07:11 AM,05:59 AM,08:04 PM,19,19,20,19,17,95,98,33.2,1011,22,7,281,7,new%20mexico
2010-01-03,27,17,0.0,13.4,5,77,10:03 PM,08:24 AM,05:59 AM,08:04 PM,18,22,23,22,13,50,85,1.2,1013,27,8,185,6,new%20mexico
2010-01-04,26,17,0.0,13.4,5,70,10:40 PM,09:35 AM,06:00 AM,08:04 PM,16,21,22,21,17,38,78,0.0,1017,26,10,104,8,new%20mexico
2010-01-05,28,16,0.0,11.6,5,63,11:14 PM,10:42 AM,06:01 AM,08:05 PM,16,23,23,22,10,15,73,0.1,1017,28,10,146,5,new%20mexico
2010-01-06,27,17,0.0,11.6,6,56,11:48 PM,11:47 AM,06:02 AM,08:05 PM,18,23,23,22,11,42,85,9.6,1015,27,9,175,4,new%20mexico
2010-01-07,28,18,0.0,9.3,5,48,No moonrise,12:50 PM,06:02 AM,08:05 PM,18,23,23,22,14,28,81,1.6,1016,28,9,109,6,new%20mexico
2010-01-08,30,18,0.0,11.6,5,41,12:21 AM,01:52 PM,06:03 AM,08:05 PM,16,24,24,23,14,22,69,0.0,1018,30,10,103,8,new%20mexico
2010-01-09,30,17,0.0,11.6,6,34,12:56 AM,02:54 PM,06:04 AM,08:05 PM,15,24,24,24,10,10,62,0.0,1018,30,10,202,4,new%20mexico
2010-01-10,33,19,0.0,11.6,7,27,01:35 AM,03:54 PM,06:05 AM,08:05 PM,16,26,26,25,13,18,58,0.1,1016,33,10,198,5,new%20mexico
2010-01-11,34,19,0.0,11.6,7,19,02:18 AM,04:53 PM,06:06 AM,08:05 PM,16,26,26,26,12,5,58,0.0,1015,34,10,141,5,new%20mexico
2010-01-12,32,19,0.0,11.6,7,12,03:05 AM,05:48 PM,06:06 AM,08:05 PM,17,27,27,26,12,12,58,0.0,1012,32,10,200,6,new%20mexico
2010-01-13,33,21,0.0,11.6,7,5,03:57 AM,06:37 PM,06:07 AM,08:05 PM,17,28,28,26,13,20,57,1.3,1011,33,10,225,7,new%20mexico
2010-01-14,31,20,0.0,10.4,5,0,04:51 AM,07:22 PM,06:08 AM,08:04 PM,18,26,26,25,16,33,67,3.9,1014,31,10,147,8,new%20mexico
2010-01-15,28,20,0.0,9.3,5,0,05:47 AM,08:01 PM,06:09 AM,08:04 PM,18,25,25,24,14,49,78,2.2,1016,28,9,123,5,new%20mexico
2010-01-16,28,19,0.0,10.4,5,2,06:43 AM,08:35 PM,06:10 AM,08:04 PM,18,24,24,23,13,40,79,6.1,1011,28,8,144,5,new%20mexico
2010-01-17,30,18,0.0,10.4,5,10,07:39 AM,09:07 PM,06:11 AM,08:04 PM,16,24,24,24,18,25,65,1.1,1006,30,10,242,9,new%20mexico
2010-01-18,23,13,0.0,11.6,5,17,08:32 AM,09:36 PM,06:12 AM,08:04 PM,6,18,19,18,21,3,48,0.0,1007,23,10,250,11,new%20mexico
2010-01-19,22,11,0.0,11.6,5,24,09:26 AM,10:03 PM,06:12 AM,08:03 PM,3,17,17,17,15,3,51,0.0,1010,22,10,262,7,new%20mexico
2010-01-20,28,12,0.0,11.6,6,31,10:19 AM,10:30 PM,06:13 AM,08:03 PM,4,20,20,20,11,1,46,0.0,1012,28,10,283,5,new%20mexico
2010-01-21,34,15,0.0,11.6,6,39,11:13 AM,10:58 PM,06:14 AM,08:03 PM,7,24,24,25,9,4,42,0.0,1012,34,10,182,4,new%20mexico
2010-01-22,34,19,0.0,11.6,7,46,12:08 PM,11:29 PM,06:15 AM,08:02 PM,12,26,26,26,16,5,43,0.0,1013,34,10,182,8,new%20mexico
2010-01-23,34,21,0.0,11.6,7,53,01:07 PM,No moonset,06:16 AM,08:02 PM,12,27,27,27,15,1,45,0.0,1012,34,10,215,8,new%20mexico
2010-01-24,34,19,0.0,11.6,7,60,02:07 PM,12:03 AM,06:17 AM,08:02 PM,13,27,27,27,13,4,52,0.0,1012,34,10,197,7,new%20mexico
2010-01-25,34,21,0.0,11.6,7,68,03:11 PM,12:43 AM,06:18 AM,08:01 PM,12,27,27,27,17,9,43,0.0,1012,34,10,211,8,new%20mexico
2010-01-26,34,22,0.0,11.6,7,75,04:15 PM,01:31 AM,06:19 AM,08:01 PM,11,28,28,28,18,6,39,0.0,1011,34,10,239,9,new%20mexico
2010-01-27,31,22,0.0,11.6,7,82,05:18 PM,02:26 AM,06:20 AM,08:00 PM,14,27,27,25,12,35,56,0.4,1013,31,10,111,4,new%20mexico
2010-01-28,33,19,0.0,10.4,5,90,06:16 PM,03:32 AM,06:21 AM,08:00 PM,16,25,25,25,16,33,62,20.7,1009,33,9,158,7,new%20mexico
2010-01-29,27,19,0.0,11.6,5,97,07:08 PM,04:42 AM,06:21 AM,07:59 PM,17,23,23,23,14,34,70,5.3,1011,27,10,230,7,new%20mexico
2010-01-30,28,18,0.0,11.6,6,100,07:53 PM,05:56 AM,06:22 AM,07:59 PM,15,23,23,23,22,8,65,0.0,1015,28,10,123,12,new%20mexico
2010-01-31,27,18,0.0,11.6,5,100,08:33 PM,07:09 AM,06:23 AM,07:58 PM,16,24,24,23,21,34,72,1.9,1013,27,10,95,10,new%20mexico
2010-02-01,26,18,0.0,11.6,6,77,09:10 PM,08:20 AM,06:24 AM,07:57 PM,14,21,22,21,22,18,68,0.0,1013,26,10,103,12,new%20mexico
2010-02-02,26,18,0.0,11.6,6,69,09:45 PM,09:29 AM,06:25 AM,07:57 PM,14,21,22,21,26,27,67,0.0,1012,26,10,119,15,new%20mexico
2010-02-03,28,19,0.0,10.4,5,62,10:19 PM,10:35 AM,06:26 AM,07:56 PM,16,24,24,24,22,31,65,0.0,1011,28,10,88,11,new%20mexico
2010-02-04,29,18,0.0,9.1,5,54,10:56 PM,11:41 AM,06:27 AM,07:56 PM,17,25,25,23,15,33,67,0.7,1010,29,9,85,7,new%20mexico
2010-02-05,26,20,0.0,10.4,5,47,11:34 PM,12:44 PM,06:28 AM,07:55 PM,17,24,24,23,17,50,89,0.4,1010,26,9,56,6,new%20mexico
2010-02-06,24,19,0.0,7.9,5,39,No moonrise,01:47 PM,06:29 AM,07:54 PM,19,21,23,21,15,67,94,6.1,1013,24,9,135,6,new%20mexico
2010-02-07,27,20,0.0,7.9,5,32,12:16 AM,02:47 PM,06:30 AM,07:53 PM,19,24,24,23,16,61,91,4.9,1018,27,8,115,6,new%20mexico
2010-02-08,29,19,0.0,11.6,6,24,01:03 AM,03:43 PM,06:30 AM,07:53 PM,16,24,24,23,17,18,73,0.0,1020,29,10,101,8,new%20mexico
