date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,3,-10,0.0,8.7,2,100,06:48 PM,08:26 AM,07:40 AM,05:29 PM,-4,-8,-4,-8,19,8,90,0.0,1031,3,10,132,11,oklahoma
2010-01-02,-0,-8,0.0,5.4,1,85,08:04 PM,09:10 AM,07:40 AM,05:29 PM,-6,-10,-4,-10,20,76,87,0.2,1030,-0,8,59,15,oklahoma
2010-01-03,-1,-8,0.0,7.0,1,77,09:17 PM,09:47 AM,07:40 AM,05:30 PM,-6,-9,-4,-9,20,65,85,0.6,1029,-1,8,58,14,oklahoma
2010-01-04,-2,-11,0.0,8.7,1,70,10:27 PM,10:20 AM,07:40 AM,05:31 PM,-9,-11,-7,-11,16,31,79,0.0,1035,-2,10,104,10,oklahoma
2010-01-05,1,-6,0.0,8.7,2,63,11:35 PM,10:51 AM,07:40 AM,05:32 PM,-8,-7,-3,-7,16,16,73,0.0,1031,1,10,108,10,oklahoma
2010-01-06,7,-4,0.0,7.0,1,56,No moonrise,11:21 AM,07:40 AM,05:33 PM,-4,-5,-0,-5,31,56,76,0.6,1022,7,9,170,19,oklahoma
2010-01-07,-5,-10,0.0,8.7,2,48,12:41 AM,11:52 AM,07:40 AM,05:34 PM,-15,-16,-7,-16,44,20,55,0.0,1035,-5,10,342,30,oklahoma
2010-01-08,-5,-12,0.0,8.7,2,41,01:46 AM,12:25 PM,07:40 AM,05:34 PM,-18,-16,-9,-16,27,5,52,0.0,1038,-5,10,290,16,oklahoma
2010-01-09,-4,-13,0.0,8.7,2,34,02:50 AM,01:03 PM,07:40 AM,05:35 PM,-13,-14,-9,-14,15,0,74,0.0,1037,-4,10,76,9,oklahoma
2010-01-10,4,-12,0.0,8.7,2,27,03:52 AM,01:45 PM,07:40 AM,05:36 PM,-13,-9,-4,-9,25,3,52,0.0,1035,4,10,185,15,oklahoma
2010-01-11,11,-2,0.0,8.7,2,19,04:51 AM,02:31 PM,07:40 AM,05:37 PM,-4,-1,3,-1,25,11,64,0.0,1029,11,10,165,13,oklahoma
2010-01-12,8,-2,0.0,7.0,1,12,05:46 AM,03:24 PM,07:40 AM,05:38 PM,1,-1,2,-1,16,49,89,0.0,1031,8,8,108,10,oklahoma
2010-01-13,12,2,0.0,7.1,2,5,06:33 AM,04:19 PM,07:39 AM,05:39 PM,5,3,7,3,42,32,88,0.0,1021,12,10,186,25,oklahoma
2010-01-14,11,8,0.0,3.8,2,0,07:16 AM,05:17 PM,07:39 AM,05:40 PM,8,7,9,7,24,90,93,0.2,1018,11,8,171,14,oklahoma
2010-01-15,8,4,0.0,3.8,2,0,07:52 AM,06:15 PM,07:39 AM,05:41 PM,5,4,6,4,14,84,93,0.0,1024,8,6,214,9,oklahoma
2010-01-16,7,4,0.0,3.8,2,2,08:23 AM,07:13 PM,07:39 AM,05:42 PM,4,4,5,4,12,64,91,2.8,1019,7,5,188,8,oklahoma
