date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,10,7,0.0,7.0,2,100,06:07 PM,08:39 AM,07:50 AM,04:38 PM,8,5,8,5,44,91,96,13.5,1015,10,7,199,21,oregon
2010-01-02,8,4,0.0,7.5,2,85,07:31 PM,09:14 AM,07:50 AM,04:39 PM,6,5,7,5,23,74,96,1.7,1025,8,4,179,12,oregon
2010-01-03,9,4,0.0,8.9,2,77,08:52 PM,09:44 AM,07:50 AM,04:40 PM,4,4,6,4,15,48,89,0.0,1023,9,9,86,9,oregon
2010-01-04,10,5,0.0,6.8,2,70,10:11 PM,10:08 AM,07:50 AM,04:41 PM,7,6,8,6,24,90,93,19.3,1016,10,7,153,11,oregon
2010-01-05,12,10,0.0,6.8,3,63,11:27 PM,10:31 AM,07:50 AM,04:42 PM,11,10,11,10,16,97,98,14.1,1018,12,8,186,9,oregon
2010-01-06,11,3,0.0,7.8,2,56,No moonrise,10:54 AM,07:50 AM,04:43 PM,4,3,6,3,28,64,90,12.4,1024,11,8,83,15,oregon
2010-01-07,7,1,0.0,8.9,2,48,12:40 AM,11:18 AM,07:50 AM,04:44 PM,1,1,4,1,29,31,85,0.3,1021,7,10,78,15,oregon
2010-01-08,7,4,0.0,7.5,2,41,01:53 AM,11:44 AM,07:49 AM,04:45 PM,4,3,5,3,24,74,91,9.4,1019,7,7,89,13,oregon
2010-01-09,12,6,0.0,8.3,2,34,03:04 AM,12:15 PM,07:49 AM,04:47 PM,7,7,8,7,16,59,94,2.5,1022,12,7,97,9,oregon
2010-01-10,10,4,0.0,8.5,2,27,04:11 AM,12:52 PM,07:49 AM,04:48 PM,5,5,7,5,22,39,88,0.0,1019,10,10,91,12,oregon
2010-01-11,11,7,0.0,8.8,2,19,05:13 AM,01:38 PM,07:48 AM,04:49 PM,6,7,9,7,17,53,87,1.6,1009,11,7,105,9,oregon
2010-01-12,11,8,0.0,7.0,2,12,06:07 AM,02:30 PM,07:48 AM,04:50 PM,8,7,9,7,27,74,95,15.2,1007,11,8,158,14,oregon
2010-01-13,9,5,0.0,6.8,2,5,06:53 AM,03:29 PM,07:47 AM,04:51 PM,6,4,7,4,36,77,95,9.0,1013,9,9,180,20,oregon
2010-01-14,9,5,0.0,9.0,3,0,07:31 AM,04:31 PM,07:47 AM,04:53 PM,4,5,7,5,21,57,86,0.0,1023,9,8,161,11,oregon
2010-01-15,10,6,0.0,7.3,2,0,08:01 AM,05:35 PM,07:46 AM,04:54 PM,5,4,7,4,27,75,83,24.3,1012,10,8,189,15,oregon
2010-01-16,9,5,0.0,6.8,2,2,08:26 AM,06:39 PM,07:46 AM,04:55 PM,6,5,7,5,19,90,94,4.3,1009,9,4,162,11,oregon
2010-01-17,10,7,0.0,7.5,2,10,08:48 AM,07:42 PM,07:45 AM,04:57 PM,7,6,8,6,29,64,92,6.0,999,10,9,144,15,oregon
