date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,2,-2,0.0,8.7,2,100,05:42 PM,07:55 AM,07:12 AM,04:25 PM,-1,-4,-0,-4,16,60,92,1.0,1010,2,8,341,10,rhode%20island
2010-01-02,0,-6,1.4,3.4,1,85,07:02 PM,08:35 AM,07:12 AM,04:26 PM,-3,-9,-2,-9,40,100,93,6.9,998,0,0,329,25,rhode%20island
2010-01-03,-4,-9,0.0,5.2,1,77,08:20 PM,09:08 AM,07:12 AM,04:27 PM,-8,-16,-7,-16,50,86,92,4.7,992,-4,0,305,31,rhode%20island
2010-01-04,-1,-6,0.0,8.7,2,70,09:36 PM,09:37 AM,07:12 AM,04:28 PM,-6,-10,-4,-10,35,17,86,0.0,1002,-1,9,310,21,rhode%20island
2010-01-05,-1,-6,0.0,5.2,1,63,10:48 PM,10:03 AM,07:12 AM,04:29 PM,-6,-9,-4,-9,24,61,86,0.0,1003,-1,9,309,15,rhode%20island
2010-01-06,-1,-5,0.0,8.7,2,56,11:59 PM,10:28 AM,07:12 AM,04:30 PM,-6,-9,-3,-9,29,18,81,0.0,1003,-1,10,305,18,rhode%20island
2010-01-07,1,-4,0.0,8.7,2,48,No moonrise,10:55 AM,07:12 AM,04:31 PM,-5,-7,-2,-7,28,11,81,0.0,1008,1,10,295,17,rhode%20island
2010-01-08,-1,-6,0.0,3.5,1,41,01:08 AM,11:24 AM,07:12 AM,04:32 PM,-5,-7,-3,-7,18,73,89,0.3,1006,-1,7,282,11,rhode%20island
2010-01-09,-4,-9,0.0,8.7,2,34,02:16 AM,11:57 AM,07:12 AM,04:33 PM,-9,-13,-6,-13,32,11,80,0.0,1015,-4,10,329,19,rhode%20island
2010-01-10,-5,-12,0.0,8.7,2,27,03:22 AM,12:36 PM,07:11 AM,04:34 PM,-12,-15,-9,-15,26,8,73,0.0,1021,-5,10,323,16,rhode%20island
2010-01-11,-1,-8,0.0,8.7,2,19,04:23 AM,01:21 PM,07:11 AM,04:35 PM,-7,-10,-5,-10,23,27,79,0.0,1018,-1,10,280,13,rhode%20island
2010-01-12,-1,-8,0.0,3.5,1,12,05:19 AM,02:12 PM,07:11 AM,04:36 PM,-7,-9,-4,-9,28,43,81,0.0,1015,-1,10,312,18,rhode%20island
2010-01-13,-3,-9,0.0,7.0,1,5,06:06 AM,03:10 PM,07:10 AM,04:37 PM,-10,-12,-6,-12,27,28,73,0.0,1020,-3,9,311,17,rhode%20island
