date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,28,18,0.0,13.3,5,100,07:43 PM,05:36 AM,05:11 AM,06:55 PM,16,23,23,23,11,29,68,1.9,1014,28,8,186,5,south%20carolina
2010-01-02,26,16,0.0,9.6,5,85,08:31 PM,06:46 AM,05:12 AM,06:55 PM,17,20,21,20,18,73,84,49.4,1014,26,8,185,9,south%20carolina
2010-01-03,21,15,0.0,8.4,4,77,09:14 PM,07:56 AM,05:12 AM,06:56 PM,16,18,18,18,22,68,92,32.5,1014,21,9,288,10,south%20carolina
2010-01-04,24,14,0.0,8.4,4,70,09:52 PM,09:02 AM,05:13 AM,06:56 PM,16,18,19,18,23,66,86,20.8,1015,24,7,148,14,south%20carolina
2010-01-05,19,14,0.0,9.6,4,63,10:28 PM,10:06 AM,05:14 AM,06:56 PM,14,16,16,16,25,62,82,6.3,1019,19,9,110,13,south%20carolina
2010-01-06,24,14,0.0,12.1,4,56,11:04 PM,11:07 AM,05:14 AM,06:56 PM,15,18,19,18,13,41,81,0.2,1017,24,7,209,6,south%20carolina
2010-01-07,27,14,0.0,13.4,5,48,11:41 PM,12:07 PM,05:15 AM,06:56 PM,14,20,20,20,17,37,75,0.0,1014,27,8,158,9,south%20carolina
2010-01-08,22,14,0.0,9.6,4,41,No moonrise,01:07 PM,05:16 AM,06:56 PM,16,18,19,18,14,61,82,3.3,1015,22,8,152,5,south%20carolina
2010-01-09,24,15,0.0,13.3,4,34,12:19 AM,02:06 PM,05:17 AM,06:57 PM,14,19,19,19,17,47,81,0.1,1016,24,8,81,10,south%20carolina
2010-01-10,24,12,0.0,13.4,5,27,01:01 AM,03:05 PM,05:17 AM,06:57 PM,12,19,19,19,14,11,69,0.0,1016,24,8,42,7,south%20carolina
2010-01-11,25,14,0.0,13.4,5,19,01:47 AM,04:01 PM,05:18 AM,06:57 PM,13,19,20,19,13,18,73,0.0,1015,25,9,142,6,south%20carolina
2010-01-12,25,16,0.0,13.3,5,12,02:36 AM,04:54 PM,05:19 AM,06:57 PM,16,20,21,20,14,40,85,0.7,1017,25,9,100,5,south%20carolina
2010-01-13,24,15,0.0,10.8,4,5,03:29 AM,05:43 PM,05:20 AM,06:57 PM,16,19,20,19,18,51,86,8.3,1019,24,6,112,9,south%20carolina
2010-01-14,25,15,0.0,13.3,4,0,04:23 AM,06:26 PM,05:21 AM,06:57 PM,15,20,20,20,11,44,80,0.0,1017,25,7,216,5,south%20carolina
2010-01-15,27,15,0.0,10.8,5,0,05:18 AM,07:06 PM,05:21 AM,06:56 PM,17,20,21,20,16,40,82,10.0,1014,27,7,217,7,south%20carolina
2010-01-16,26,17,0.0,10.8,5,2,06:12 AM,07:41 PM,05:22 AM,06:56 PM,18,21,21,21,17,62,88,5.9,1017,26,7,178,9,south%20carolina
2010-01-17,24,17,0.0,10.8,4,10,07:05 AM,08:13 PM,05:23 AM,06:56 PM,18,20,21,20,17,70,92,2.5,1019,24,6,112,8,south%20carolina
2010-01-18,24,16,0.0,8.3,4,17,07:56 AM,08:44 PM,05:24 AM,06:56 PM,17,19,20,19,14,68,87,4.0,1017,24,6,206,7,south%20carolina
2010-01-19,25,16,0.0,13.3,4,24,08:47 AM,09:14 PM,05:25 AM,06:56 PM,16,20,20,20,19,43,81,2.9,1014,25,9,235,10,south%20carolina
2010-01-20,22,16,0.0,9.6,4,31,09:38 AM,09:44 PM,05:25 AM,06:56 PM,17,19,19,19,19,69,87,38.2,1016,22,8,98,8,south%20carolina
