date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,29,23,0.0,5.7,6,100,06:39 PM,06:54 AM,06:29 AM,05:50 PM,21,28,28,26,18,24,73,0.7,1013,29,10,258,11,utah
2010-01-02,29,24,0.0,7.2,6,85,07:45 PM,07:51 AM,06:29 AM,05:51 PM,21,29,29,26,20,17,74,0.1,1014,29,10,260,11,utah
2010-01-03,30,24,0.0,8.7,7,77,08:46 PM,08:42 AM,06:30 AM,05:51 PM,17,28,28,27,42,4,56,0.0,1016,30,10,147,29,utah
2010-01-04,29,23,0.0,8.7,7,70,09:44 PM,09:30 AM,06:30 AM,05:52 PM,16,27,27,26,49,0,53,0.0,1015,29,10,149,34,utah
2010-01-05,29,23,0.0,8.7,7,63,10:40 PM,10:13 AM,06:30 AM,05:52 PM,16,27,27,26,42,0,54,0.0,1014,29,10,149,28,utah
2010-01-06,30,23,0.0,8.7,7,56,11:35 PM,10:55 AM,06:31 AM,05:53 PM,18,28,28,26,35,1,61,0.0,1013,30,10,153,23,utah
2010-01-07,29,24,0.0,8.7,7,48,No moonrise,11:38 AM,06:31 AM,05:53 PM,19,28,28,26,36,4,63,0.0,1013,29,10,156,24,utah
2010-01-08,29,24,0.0,8.7,7,41,12:28 AM,12:20 PM,06:31 AM,05:54 PM,16,27,27,26,42,2,55,0.0,1014,29,10,153,28,utah
2010-01-09,29,24,0.0,8.7,7,34,01:23 AM,01:06 PM,06:32 AM,05:54 PM,15,27,27,26,38,6,53,0.0,1015,29,10,150,26,utah
2010-01-10,28,23,0.0,8.7,7,27,02:17 AM,01:53 PM,06:32 AM,05:55 PM,15,26,26,25,38,2,55,0.0,1016,28,10,152,25,utah
2010-01-11,28,23,0.0,8.7,6,19,03:12 AM,02:42 PM,06:32 AM,05:56 PM,15,26,26,25,41,1,53,0.0,1016,28,10,153,27,utah
2010-01-12,28,23,0.0,8.7,6,12,04:05 AM,03:35 PM,06:32 AM,05:56 PM,14,26,26,25,47,0,51,0.0,1017,28,10,151,32,utah
2010-01-13,28,23,0.0,8.7,7,5,04:57 AM,04:26 PM,06:32 AM,05:57 PM,15,26,26,25,51,0,53,0.0,1016,28,10,147,36,utah
2010-01-14,29,23,0.0,8.7,7,0,05:45 AM,05:19 PM,06:33 AM,05:57 PM,16,27,27,26,51,0,55,0.0,1016,29,10,146,37,utah
