date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,8,3,0.0,5.3,2,100,06:14 PM,08:01 AM,07:17 AM,04:58 PM,5,3,6,3,30,74,87,1.7,1013,8,6,331,21,virginia
2010-01-02,1,-3,0.0,5.3,1,85,07:31 PM,08:44 AM,07:17 AM,04:59 PM,-5,-8,-1,-8,58,49,74,0.0,1014,1,8,315,40,virginia
2010-01-03,1,-4,0.0,8.7,2,77,08:45 PM,09:21 AM,07:17 AM,05:00 PM,-7,-9,-1,-9,54,5,68,0.0,1013,1,10,302,38,virginia
2010-01-04,2,-3,0.0,8.7,1,70,09:57 PM,09:53 AM,07:17 AM,05:01 PM,-6,-7,-1,-7,37,34,69,0.0,1013,2,10,303,27,virginia
2010-01-05,2,-2,0.0,5.4,1,63,11:05 PM,10:23 AM,07:17 AM,05:02 PM,-5,-5,0,-5,34,42,66,0.0,1013,2,10,303,25,virginia
2010-01-06,4,-1,0.0,7.0,1,56,No moonrise,10:52 AM,07:17 AM,05:03 PM,-3,-4,2,-4,35,31,68,0.0,1014,4,10,303,26,virginia
2010-01-07,4,-1,0.0,8.7,2,48,12:12 AM,11:22 AM,07:17 AM,05:04 PM,-3,-3,2,-3,26,26,69,0.0,1017,4,10,273,19,virginia
2010-01-08,3,-1,0.0,8.7,1,41,01:19 AM,11:54 AM,07:17 AM,05:04 PM,-2,-4,1,-4,39,39,76,2.6,1014,3,6,282,28,virginia
2010-01-09,2,-2,0.0,3.7,1,34,02:23 AM,12:30 PM,07:17 AM,05:05 PM,-4,-6,0,-6,37,69,77,0.0,1021,2,7,337,27,virginia
2010-01-10,0,-2,0.0,8.7,2,27,03:27 AM,01:11 PM,07:17 AM,05:06 PM,-5,-7,-1,-7,38,5,72,0.0,1025,0,10,342,28,virginia
2010-01-11,4,-2,0.0,8.7,2,19,04:26 AM,01:58 PM,07:17 AM,05:07 PM,-7,-4,1,-4,25,28,55,0.0,1024,4,10,273,18,virginia
2010-01-12,2,1,0.0,8.7,1,12,05:21 AM,02:50 PM,07:17 AM,05:08 PM,-3,-3,2,-3,32,46,69,0.0,1021,2,8,327,23,virginia
2010-01-13,5,-1,0.0,8.7,2,5,06:09 AM,03:46 PM,07:17 AM,05:09 PM,-3,-3,2,-3,27,7,69,0.0,1025,5,10,289,20,virginia
2010-01-14,7,0,0.0,8.7,2,0,06:51 AM,04:44 PM,07:16 AM,05:10 PM,-1,1,4,1,18,10,65,0.0,1025,7,10,214,12,virginia
2010-01-15,10,2,0.0,8.7,3,0,07:27 AM,05:43 PM,07:16 AM,05:11 PM,2,3,6,3,23,12,74,0.0,1024,10,10,243,14,virginia
2010-01-16,9,4,0.0,8.7,3,2,07:58 AM,06:41 PM,07:16 AM,05:12 PM,3,5,7,5,12,27,76,0.0,1024,9,10,246,7,virginia
2010-01-17,14,7,0.0,3.7,3,10,08:25 AM,07:39 PM,07:15 AM,05:13 PM,9,8,11,8,40,82,91,31.7,1009,14,8,176,23,virginia
2010-01-18,10,6,0.0,7.0,2,17,08:51 AM,08:35 PM,07:15 AM,05:14 PM,6,5,8,5,28,40,85,0.0,1011,10,10,276,18,virginia
