date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,5,-4,0.0,8.7,2,100,06:13 PM,08:11 AM,07:27 AM,04:57 PM,-1,-2,1,-2,23,28,87,0.4,1015,5,8,290,13,washington
2010-01-02,-3,-9,0.0,3.5,1,85,07:32 PM,08:53 AM,07:27 AM,04:58 PM,-12,-13,-5,-13,49,62,57,0.0,1014,-3,7,307,29,washington
2010-01-03,-4,-9,0.0,8.7,2,77,08:47 PM,09:28 AM,07:27 AM,04:59 PM,-15,-15,-7,-15,52,31,51,0.0,1012,-4,10,299,30,washington
2010-01-04,-1,-6,0.0,3.5,1,70,10:00 PM,09:59 AM,07:27 AM,04:59 PM,-11,-10,-4,-10,34,63,59,0.0,1013,-1,10,300,21,washington
2010-01-05,0,-5,0.0,3.6,1,63,11:11 PM,10:27 AM,07:27 AM,05:00 PM,-9,-8,-2,-8,31,69,63,0.0,1012,0,9,297,19,washington
2010-01-06,2,-4,0.0,8.7,1,56,No moonrise,10:55 AM,07:27 AM,05:01 PM,-7,-7,-1,-7,35,39,66,0.0,1013,2,8,297,20,washington
2010-01-07,2,-4,0.0,8.7,2,48,12:19 AM,11:23 AM,07:27 AM,05:02 PM,-7,-4,-1,-4,20,35,67,0.2,1016,2,9,278,10,washington
2010-01-08,-1,-7,0.0,7.0,1,41,01:27 AM,11:54 AM,07:27 AM,05:03 PM,-7,-9,-3,-9,31,50,74,0.9,1014,-1,7,281,18,washington
2010-01-09,-1,-6,0.0,7.0,1,34,02:33 AM,12:29 PM,07:27 AM,05:04 PM,-7,-9,-4,-9,30,28,78,0.0,1022,-1,10,325,17,washington
2010-01-10,-2,-8,0.0,8.7,2,27,03:37 AM,01:09 PM,07:27 AM,05:05 PM,-10,-11,-5,-11,25,2,73,0.0,1027,-2,10,321,15,washington
2010-01-11,1,-8,0.0,8.7,2,19,04:37 AM,01:55 PM,07:27 AM,05:06 PM,-9,-6,-4,-6,13,32,69,0.0,1023,1,10,230,7,washington
2010-01-12,1,-5,0.0,8.7,2,12,05:33 AM,02:47 PM,07:26 AM,05:07 PM,-8,-7,-2,-7,27,25,67,0.0,1022,1,9,319,16,washington
2010-01-13,4,-5,0.0,8.7,2,5,06:20 AM,03:43 PM,07:26 AM,05:08 PM,-5,-3,0,-3,18,8,69,0.0,1025,4,10,274,9,washington
2010-01-14,9,-1,0.0,8.7,2,0,07:02 AM,04:42 PM,07:26 AM,05:09 PM,-2,1,3,1,11,14,72,0.0,1024,9,10,188,6,washington
2010-01-15,11,-2,0.0,8.7,2,0,07:37 AM,05:42 PM,07:26 AM,05:10 PM,1,3,4,3,14,33,80,0.0,1023,11,9,286,7,washington
2010-01-16,10,1,0.0,7.0,1,2,08:06 AM,06:42 PM,07:25 AM,05:12 PM,4,4,5,4,11,51,93,0.0,1023,10,5,183,6,washington
2010-01-17,6,4,0.0,3.7,1,10,08:32 AM,07:41 PM,07:25 AM,05:13 PM,4,2,5,2,22,99,97,20.5,1009,6,5,163,11,washington
2010-01-18,12,3,0.0,8.7,3,17,08:57 AM,08:38 PM,07:24 AM,05:14 PM,4,4,6,4,22,27,88,0.0,1011,12,9,286,12,washington
