state,date,precip,max_temp,min_temp,wind_speed
alabama,2010,2.87,12.6,6.22,15.85
alabama,2011,3.79,12.25,5.95,15.7
alabama,2012,2.74,13.73,7.22,15.64
alabama,2013,3.29,11.92,5.39,16.27
alabama,2014,3.11,11.08,4.33,16.34
alabama,2015,2.63,11.96,5.24,15.91
alabama,2016,2.53,13.3,6.71,16.44
alabama,2017,3.38,12.53,6.43,16.95
alabama,2018,3.51,12.56,6.48,17.78
alabama,2019,3.32,11.84,5.45,15.48
alabama,2020,2.96,13.01,5.89,15.73
alabama,2021,3.32,13.5,6.31,15.22
alabama,2022,2.71,13.47,5.04,15.91
alabama,2023,4.06,3.72,-3.1,17.96
alaska,2010,6.5,28.17,17.23,5.85
alaska,2011,6.39,29.04,17.57,4.9
alaska,2012,3.89,29.38,17.5,4.77
alaska,2013,4.33,29.35,17.83,4.8
alaska,2014,4.17,28.99,17.45,4.8
alaska,2015,3.08,29.93,18.21,3.74
alaska,2016,2.71,30.11,18.1,3.86
alaska,2017,3.43,29.83,18.01,3.92
alaska,2018,2.59,29.8,18.55,4.56
alaska,2019,3.2,29.88,18.75,6.31
alaska,2020,3.85,28.92,18.89,6.76
alaska,2021,2.84,29.16,18.45,6.17
alaska,2022,3.98,29.26,17.96,6.35
alaska,2023,0.54,32.1,16.47,7.18
arizona,2010,6.74,29.53,19.85,6.16
arizona,2011,6.98,29.58,20.02,5.68
arizona,2012,6.1,29.42,20.04,5.57
arizona,2013,7.62,29.98,20.39,5.53
arizona,2014,7.23,29.59,20.3,5.6
arizona,2015,6.82,30.3,20.12,5.64
arizona,2016,6.52,30.47,19.96,5.39
arizona,2017,7.53,30.93,20.11,4.84
arizona,2018,5.95,30.62,20.28,4.37
arizona,2019,4.44,31.51,20.76,5.33
arizona,2020,7.96,30.89,20.83,5.01
arizona,2021,5.77,30.89,20.48,5.17
arizona,2022,7.13,30.34,20.19,4.88
arizona,2023,2.89,32.16,17.9,5.37
arkansas,2010,2.44,19.9,9.6,15.5
arkansas,2011,2.14,20.24,9.8,16.37
arkansas,2012,2.18,21.6,11.31,15.81
arkansas,2013,3.63,18.68,8.53,15.63
arkansas,2014,2.04,19.31,8.67,16.02
arkansas,2015,2.69,20.76,10.5,17.26
arkansas,2016,2.87,21.13,11.23,16.85
arkansas,2017,3.27,20.87,10.68,17.1
arkansas,2018,2.85,20.13,9.84,17.21
arkansas,2019,4.1,19.15,9.54,17.0
arkansas,2020,2.61,19.83,10.34,17.16
arkansas,2021,3.02,20.58,10.76,17.86
arkansas,2022,2.24,21.76,10.25,18.49
arkansas,2023,1.03,12.26,1.18,18.97
california,2010,0.82,23.05,8.8,11.3
california,2011,0.31,22.3,9.05,13.34
california,2012,0.14,23.62,10.48,14.31
california,2013,0.12,23.46,10.19,14.34
california,2014,0.27,24.58,11.35,14.07
california,2015,0.27,24.07,10.82,12.87
california,2016,0.35,24.18,10.72,13.34
california,2017,0.4,24.35,11.13,13.02
california,2018,0.31,23.93,11.19,13.36
california,2019,0.76,22.35,10.07,15.38
california,2020,0.38,24.38,11.6,14.57
california,2021,0.25,25.06,11.9,15.07
california,2022,0.21,25.87,11.84,14.42
california,2023,1.89,12.72,2.69,15.54
colorado,2010,1.0,17.4,2.31,11.06
colorado,2011,1.2,16.65,1.59,12.23
colorado,2012,0.55,18.2,3.52,12.59
colorado,2013,0.95,16.33,2.07,11.91
colorado,2014,0.94,16.5,2.33,12.1
colorado,2015,1.52,16.75,3.17,10.56
colorado,2016,1.09,17.4,3.14,10.69
colorado,2017,1.53,17.63,3.54,11.08
colorado,2018,1.03,17.43,3.79,10.99
colorado,2019,1.02,16.37,2.51,11.34
colorado,2020,0.73,17.71,4.01,11.07
colorado,2021,1.26,17.93,4.47,10.68
colorado,2022,1.05,17.97,3.26,11.15
colorado,2023,0.76,7.34,-7.57,11.45
connecticut,2010,3.75,15.65,6.35,12.97
connecticut,2011,4.16,14.58,5.75,11.83
connecticut,2012,2.59,15.81,6.92,11.73
connecticut,2013,3.03,14.21,5.19,12.22
connecticut,2014,2.93,13.77,4.73,12.25
connecticut,2015,2.74,14.75,4.96,9.34
connecticut,2016,2.78,15.57,6.19,9.35
connecticut,2017,3.46,14.98,6.02,9.41
connecticut,2018,4.33,15.05,6.39,9.53
connecticut,2019,4.0,14.78,5.87,10.18
connecticut,2020,3.72,16.22,7.72,10.4
connecticut,2021,3.51,15.88,7.09,9.49
connecticut,2022,3.19,16.57,6.29,10.39
connecticut,2023,3.19,7.36,-1.03,11.2
delaware,2010,2.53,16.07,6.65,12.26
delaware,2011,4.45,15.66,6.94,12.6
delaware,2012,2.55,17.01,7.82,12.46
delaware,2013,3.36,15.05,6.11,12.57
delaware,2014,2.91,14.47,5.03,12.48
delaware,2015,3.46,15.84,6.87,13.54
delaware,2016,3.17,16.5,7.74,13.09
delaware,2017,3.6,16.55,8.19,12.56
delaware,2018,4.71,16.21,8.14,11.62
delaware,2019,3.77,16.52,8.23,12.84
delaware,2020,3.5,16.07,8.49,12.87
