date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-0,-11,0.0,8.7,1,100,06:42 PM,08:28 AM,07:42 AM,05:22 PM,-7,-12,-7,-12,21,30,90,0.0,1033,-0,10,97,12,arkansas
2010-01-02,-8,-15,0.0,7.0,1,85,07:59 PM,09:11 AM,07:42 AM,05:23 PM,-13,-18,-11,-18,21,65,90,1.2,1033,-8,8,63,12,arkansas
2010-01-03,-7,-10,0.0,3.7,1,77,09:14 PM,09:47 AM,07:42 AM,05:24 PM,-9,-14,-8,-14,19,96,92,1.2,1032,-7,6,102,14,arkansas
2010-01-04,-6,-11,0.0,5.4,1,70,10:25 PM,10:19 AM,07:42 AM,05:25 PM,-11,-13,-9,-13,12,58,89,0.0,1035,-6,10,163,7,arkansas
2010-01-05,-4,-11,0.0,8.7,1,63,11:34 PM,10:49 AM,07:42 AM,05:26 PM,-10,-12,-8,-12,15,37,92,0.0,1031,-4,7,116,8,arkansas
2010-01-06,1,-8,0.0,3.7,1,56,No moonrise,11:18 AM,07:42 AM,05:27 PM,-6,-11,-5,-11,30,74,91,0.4,1024,1,8,196,18,arkansas
2010-01-07,-9,-14,0.0,5.4,1,48,12:41 AM,11:48 AM,07:42 AM,05:27 PM,-13,-22,-12,-22,44,64,91,0.0,1035,-9,9,330,26,arkansas
2010-01-08,-10,-18,0.0,5.4,1,41,01:47 AM,12:20 PM,07:42 AM,05:28 PM,-15,-22,-14,-22,25,59,90,0.0,1039,-10,9,289,16,arkansas
2010-01-09,-8,-19,0.0,8.7,2,34,02:52 AM,12:56 PM,07:42 AM,05:29 PM,-16,-20,-15,-20,15,6,87,0.0,1038,-8,7,78,8,arkansas
2010-01-10,1,-17,0.0,8.7,2,27,03:55 AM,01:38 PM,07:42 AM,05:30 PM,-11,-15,-8,-15,29,10,76,0.0,1033,1,10,199,16,arkansas
2010-01-11,5,-4,0.0,8.7,1,19,04:54 AM,02:24 PM,07:42 AM,05:31 PM,-3,-5,-1,-5,23,27,88,0.0,1030,5,9,183,13,arkansas
2010-01-12,3,-6,0.0,8.7,2,12,05:49 AM,03:16 PM,07:42 AM,05:32 PM,-3,-6,-2,-6,22,25,93,0.0,1032,3,7,131,13,arkansas
2010-01-13,10,-0,0.0,8.7,2,5,06:37 AM,04:12 PM,07:41 AM,05:33 PM,3,-0,4,-0,43,23,90,0.0,1020,10,10,191,25,arkansas
2010-01-14,10,5,0.0,3.7,2,0,07:18 AM,05:11 PM,07:41 AM,05:34 PM,6,5,7,5,20,96,94,0.1,1019,10,7,198,12,arkansas
2010-01-15,6,1,0.0,5.4,1,0,07:54 AM,06:10 PM,07:41 AM,05:35 PM,2,1,3,1,13,81,92,0.0,1025,6,8,92,8,arkansas
2010-01-16,7,1,0.0,7.0,1,2,08:24 AM,07:08 PM,07:41 AM,05:36 PM,2,1,3,1,10,52,91,0.2,1019,7,5,126,6,arkansas
2010-01-17,9,0,0.0,8.7,2,10,08:52 AM,08:06 PM,07:40 AM,05:37 PM,1,1,4,1,17,21,80,0.0,1014,9,9,208,11,arkansas
2010-01-18,12,2,0.0,7.0,2,17,09:17 AM,09:03 PM,07:40 AM,05:38 PM,5,5,6,5,17,44,90,0.0,1012,12,7,131,9,arkansas
2010-01-19,10,4,0.0,3.8,2,24,09:41 AM,09:59 PM,07:39 AM,05:39 PM,6,4,7,4,24,60,91,0.0,1007,10,8,117,14,arkansas
2010-01-20,9,3,0.0,8.7,3,31,10:04 AM,10:57 PM,07:39 AM,05:40 PM,3,3,6,3,25,37,79,0.0,1002,9,10,159,15,arkansas
2010-01-21,9,1,0.0,8.7,1,39,10:29 AM,11:57 PM,07:38 AM,05:42 PM,2,1,4,1,25,34,81,4.0,1005,9,10,111,15,arkansas
2010-01-22,13,1,0.0,8.7,3,46,10:57 AM,No moonset,07:38 AM,05:43 PM,3,3,7,3,39,16,81,2.2,1005,13,10,136,23,arkansas
2010-01-23,12,7,0.0,8.7,2,53,11:29 AM,12:59 AM,07:37 AM,05:44 PM,8,7,10,7,37,45,87,2.0,996,12,10,208,22,arkansas
2010-01-24,7,0,0.0,8.7,2,60,12:07 PM,02:03 AM,07:37 AM,05:45 PM,-3,-1,4,-1,37,18,62,0.0,1004,7,10,323,24,arkansas
2010-01-25,5,-1,0.0,8.7,2,68,12:54 PM,03:10 AM,07:36 AM,05:46 PM,-7,-4,1,-4,41,21,54,0.0,1012,5,10,303,25,arkansas
