date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-11,-17,0.0,3.4,1,100,06:05 PM,08:15 AM,07:30 AM,04:45 PM,-14,-23,-14,-23,27,98,92,0.0,1032,-11,9,303,18,illinois
2010-01-02,-14,-20,0.0,8.7,2,85,07:26 PM,08:55 AM,07:30 AM,04:46 PM,-17,-24,-17,-24,18,36,91,0.0,1035,-14,10,315,12,illinois
2010-01-03,-12,-22,0.0,8.7,2,77,08:43 PM,09:28 AM,07:30 AM,04:47 PM,-17,-25,-18,-25,19,18,91,0.0,1035,-12,10,192,13,illinois
2010-01-04,-11,-18,0.0,6.9,1,70,09:58 PM,09:57 AM,07:30 AM,04:47 PM,-16,-25,-16,-25,28,41,92,0.0,1032,-11,10,321,19,illinois
2010-01-05,-10,-17,0.0,8.7,2,63,11:11 PM,10:23 AM,07:30 AM,04:48 PM,-14,-23,-15,-23,26,25,93,0.0,1029,-10,10,313,17,illinois
2010-01-06,-9,-17,0.4,6.9,1,56,No moonrise,10:49 AM,07:30 AM,04:49 PM,-12,-16,-12,-16,10,48,91,2.7,1025,-9,8,273,6,illinois
2010-01-07,-7,-11,0.0,3.5,1,48,12:21 AM,11:16 AM,07:30 AM,04:50 PM,-9,-15,-9,-15,27,100,95,4.9,1018,-7,2,282,18,illinois
2010-01-08,-8,-15,0.0,3.5,1,41,01:30 AM,11:45 AM,07:30 AM,04:51 PM,-10,-17,-10,-17,31,100,93,0.0,1029,-8,7,322,20,illinois
2010-01-09,-12,-19,0.0,7.0,1,34,02:38 AM,12:18 PM,07:30 AM,04:52 PM,-14,-23,-16,-23,18,53,94,0.0,1036,-12,7,320,12,illinois
2010-01-10,-6,-20,0.0,8.7,1,27,03:44 AM,12:58 PM,07:29 AM,04:54 PM,-13,-21,-13,-21,32,45,90,0.0,1030,-6,9,228,20,illinois
2010-01-11,-4,-10,0.0,3.5,1,19,04:44 AM,01:43 PM,07:29 AM,04:55 PM,-7,-14,-7,-14,28,92,94,0.0,1026,-4,8,328,18,illinois
2010-01-12,-5,-13,0.0,8.7,2,12,05:39 AM,02:35 PM,07:29 AM,04:56 PM,-9,-14,-9,-14,20,31,95,0.0,1032,-5,6,261,12,illinois
2010-01-13,2,-7,0.0,8.7,2,5,06:26 AM,03:32 PM,07:28 AM,04:57 PM,-3,-8,-2,-8,35,20,94,0.0,1020,2,10,206,21,illinois
2010-01-14,4,-0,0.0,3.5,1,0,07:06 AM,04:32 PM,07:28 AM,04:58 PM,2,-2,2,-2,29,93,99,0.0,1018,4,7,245,17,illinois
2010-01-15,-1,-5,0.0,8.7,2,0,07:40 AM,05:34 PM,07:28 AM,04:59 PM,-4,-5,-3,-5,12,33,94,0.0,1026,-1,6,200,7,illinois
