date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-9,-17,0.0,7.0,1,100,06:27 PM,08:24 AM,07:38 AM,05:07 PM,-14,-21,-14,-21,21,48,94,0.0,1036,-9,9,343,13,kansas
2010-01-02,-13,-22,0.0,5.3,1,85,07:46 PM,09:05 AM,07:38 AM,05:08 PM,-17,-23,-16,-23,15,73,94,1.5,1037,-13,6,123,10,kansas
2010-01-03,-10,-14,0.0,3.6,1,77,09:01 PM,09:40 AM,07:38 AM,05:08 PM,-12,-19,-12,-19,21,93,96,3.2,1034,-10,4,47,14,kansas
2010-01-04,-13,-21,0.0,8.7,2,70,10:14 PM,10:10 AM,07:38 AM,05:09 PM,-17,-24,-17,-24,19,18,92,0.0,1037,-13,10,259,12,kansas
2010-01-05,-10,-21,0.0,8.7,2,63,11:25 PM,10:38 AM,07:38 AM,05:10 PM,-17,-22,-17,-22,13,12,93,0.0,1033,-10,8,278,8,kansas
2010-01-06,-6,-19,1.8,3.6,1,56,No moonrise,11:06 AM,07:38 AM,05:11 PM,-12,-17,-12,-17,18,76,93,6.8,1025,-6,6,195,10,kansas
2010-01-07,-11,-17,0.0,3.7,1,48,12:33 AM,11:35 AM,07:38 AM,05:12 PM,-15,-25,-14,-25,48,100,94,0.4,1029,-11,5,303,30,kansas
2010-01-08,-16,-22,0.0,3.7,1,41,01:41 AM,12:06 PM,07:38 AM,05:13 PM,-18,-27,-19,-27,28,91,97,0.0,1038,-16,7,312,16,kansas
2010-01-09,-13,-23,0.0,8.7,2,34,02:47 AM,12:41 PM,07:38 AM,05:14 PM,-20,-24,-20,-24,12,41,97,0.0,1039,-13,2,260,6,kansas
2010-01-10,-4,-21,0.0,8.7,2,27,03:51 AM,01:21 PM,07:38 AM,05:15 PM,-12,-20,-12,-20,34,12,93,0.0,1033,-4,9,222,20,kansas
2010-01-11,-2,-9,0.0,3.7,1,19,04:51 AM,02:07 PM,07:38 AM,05:16 PM,-3,-9,-4,-9,24,77,97,0.0,1029,-2,9,188,14,kansas
2010-01-12,-4,-14,0.0,8.7,2,12,05:46 AM,02:59 PM,07:37 AM,05:17 PM,-10,-13,-9,-13,18,23,96,0.0,1033,-4,5,138,10,kansas
2010-01-13,4,-5,0.0,7.0,1,5,06:33 AM,03:56 PM,07:37 AM,05:18 PM,-0,-5,1,-5,41,48,97,0.0,1021,4,8,201,23,kansas
2010-01-14,4,-1,0.0,3.7,1,0,07:15 AM,04:55 PM,07:37 AM,05:19 PM,2,-1,2,-1,23,99,99,0.0,1019,4,1,256,13,kansas
2010-01-15,1,-3,0.0,3.7,1,0,07:49 AM,05:55 PM,07:36 AM,05:20 PM,-1,-3,-1,-3,10,88,99,0.0,1026,1,0,239,6,kansas
2010-01-16,5,-3,0.0,8.7,2,2,08:18 AM,06:54 PM,07:36 AM,05:21 PM,-1,-1,0,-1,10,29,94,0.0,1021,5,5,179,5,kansas
2010-01-17,6,-1,0.0,8.7,2,10,08:44 AM,07:53 PM,07:36 AM,05:23 PM,1,-1,2,-1,14,10,92,0.0,1014,6,6,228,8,kansas
2010-01-18,5,-1,0.0,7.0,1,17,09:09 AM,08:51 PM,07:35 AM,05:24 PM,0,-1,1,-1,12,35,95,0.0,1015,5,6,119,7,kansas
2010-01-19,6,-1,0.0,3.7,1,24,09:31 AM,09:50 PM,07:35 AM,05:25 PM,2,-1,3,-1,27,84,98,0.1,1011,6,6,86,15,kansas
2010-01-20,10,1,0.0,3.7,2,31,09:54 AM,10:49 PM,07:34 AM,05:26 PM,5,4,6,4,25,76,94,6.0,1003,10,9,164,15,kansas
2010-01-21,4,1,0.0,3.7,1,39,10:17 AM,11:50 PM,07:34 AM,05:27 PM,1,-2,2,-2,22,84,94,0.0,1007,4,8,65,14,kansas
2010-01-22,8,-1,0.0,8.7,2,46,10:44 AM,No moonset,07:33 AM,05:28 PM,2,0,3,0,26,39,90,0.0,1009,8,7,133,15,kansas
2010-01-23,11,5,0.0,3.7,2,53,11:15 AM,12:53 AM,07:32 AM,05:29 PM,6,4,8,4,37,86,92,6.2,998,11,6,187,20,kansas
2010-01-24,4,-1,0.0,7.0,1,60,11:52 AM,01:59 AM,07:32 AM,05:30 PM,-1,-4,2,-4,38,59,81,0.0,1001,4,9,299,24,kansas
2010-01-25,-0,-4,0.0,3.8,1,68,12:37 PM,03:06 AM,07:31 AM,05:32 PM,-7,-9,-2,-9,45,99,70,0.0,1007,-0,5,296,29,kansas
2010-01-26,0,-6,0.0,7.1,1,75,01:34 PM,04:13 AM,07:30 AM,05:33 PM,-9,-9,-4,-9,31,50,67,0.0,1021,0,9,302,18,kansas
2010-01-27,5,-4,0.0,8.7,1,82,02:40 PM,05:15 AM,07:30 AM,05:34 PM,-7,-5,-1,-5,19,44,64,0.0,1024,5,10,110,12,kansas
