date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,31,21,0.0,11.0,6,100,08:32 PM,06:15 AM,05:49 AM,07:43 PM,11,27,27,27,21,48,35,1.4,1012,31,10,272,12,kentucky
2010-01-02,32,22,0.0,12.2,6,85,09:19 PM,07:28 AM,05:50 AM,07:43 PM,17,28,28,27,19,52,45,9.1,1009,32,10,265,12,kentucky
2010-01-03,31,19,0.0,13.9,6,77,10:00 PM,08:38 AM,05:50 AM,07:44 PM,10,25,25,24,28,15,40,0.0,1011,31,10,206,18,kentucky
2010-01-04,34,15,0.0,13.9,7,70,10:37 PM,09:46 AM,05:51 AM,07:44 PM,8,25,25,25,23,2,34,0.0,1012,34,10,165,12,kentucky
2010-01-05,36,23,0.0,13.9,8,63,11:12 PM,10:50 AM,05:52 AM,07:44 PM,7,29,29,30,21,5,24,0.0,1011,36,10,84,11,kentucky
2010-01-06,37,25,0.0,13.9,8,56,11:47 PM,11:53 AM,05:53 AM,07:44 PM,6,30,30,31,22,3,20,0.0,1011,37,10,214,12,kentucky
2010-01-07,37,22,0.0,13.9,7,48,No moonrise,12:55 PM,05:53 AM,07:44 PM,3,28,28,29,22,1,18,0.0,1012,37,10,204,13,kentucky
2010-01-08,35,19,0.0,13.9,7,41,12:22 AM,01:55 PM,05:54 AM,07:44 PM,3,26,26,27,23,2,24,0.0,1011,35,10,230,12,kentucky
2010-01-09,35,20,0.0,13.3,6,34,01:00 AM,02:55 PM,05:55 AM,07:44 PM,5,27,27,27,26,15,25,0.6,1010,35,10,254,14,kentucky
2010-01-10,32,22,0.0,9.8,6,27,01:41 AM,03:55 PM,05:56 AM,07:44 PM,11,27,27,26,24,48,33,9.4,1010,32,10,233,15,kentucky
2010-01-11,33,18,0.0,13.9,7,19,02:26 AM,04:51 PM,05:56 AM,07:44 PM,9,25,25,26,20,4,31,0.0,1011,33,10,212,12,kentucky
2010-01-12,35,21,0.0,13.9,7,12,03:15 AM,05:44 PM,05:57 AM,07:44 PM,8,28,28,28,20,10,28,0.7,1012,35,10,152,11,kentucky
2010-01-13,36,24,0.0,13.3,6,5,04:08 AM,06:32 PM,05:58 AM,07:44 PM,13,29,29,29,28,21,31,4.6,1012,36,10,191,19,kentucky
2010-01-14,33,22,0.0,13.9,6,0,05:03 AM,07:16 PM,05:59 AM,07:44 PM,12,28,28,28,24,28,34,2.4,1013,33,9,259,17,kentucky
2010-01-15,31,17,0.0,13.4,6,0,05:58 AM,07:54 PM,06:00 AM,07:44 PM,4,23,23,24,24,4,25,0.0,1015,31,10,199,14,kentucky
