date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-9,-14,0.0,5.2,1,100,06:11 PM,08:10 AM,07:25 AM,04:51 PM,-13,-19,-11,-19,26,62,84,0.0,1033,-9,9,312,18,louisiana
2010-01-02,-11,-18,0.0,8.7,2,85,07:30 PM,08:51 AM,07:25 AM,04:52 PM,-15,-21,-14,-21,17,38,86,0.0,1035,-11,10,240,11,louisiana
2010-01-03,-10,-16,0.0,7.0,1,77,08:46 PM,09:26 AM,07:25 AM,04:53 PM,-16,-19,-13,-19,16,39,81,0.0,1034,-10,10,87,10,louisiana
2010-01-04,-10,-18,0.0,8.7,2,70,09:59 PM,09:56 AM,07:25 AM,04:54 PM,-16,-23,-15,-23,26,9,85,0.0,1033,-10,10,321,17,louisiana
2010-01-05,-9,-18,0.0,8.7,2,63,11:10 PM,10:24 AM,07:25 AM,04:55 PM,-15,-22,-14,-22,25,3,85,0.0,1031,-9,10,304,16,louisiana
2010-01-06,-6,-17,0.5,7.0,1,56,No moonrise,10:51 AM,07:25 AM,04:56 PM,-13,-14,-11,-14,11,53,80,3.6,1026,-6,8,181,6,louisiana
2010-01-07,-8,-12,0.8,3.5,1,48,12:19 AM,11:20 AM,07:25 AM,04:57 PM,-11,-18,-10,-18,38,100,94,3.3,1021,-8,4,266,24,louisiana
2010-01-08,-9,-15,0.0,3.5,1,41,01:27 AM,11:51 AM,07:25 AM,04:58 PM,-13,-20,-12,-20,32,97,93,0.0,1032,-9,8,308,21,louisiana
2010-01-09,-10,-18,0.0,8.7,1,34,02:33 AM,12:25 PM,07:25 AM,04:59 PM,-15,-22,-15,-22,18,44,92,0.0,1037,-10,9,314,12,louisiana
2010-01-10,-5,-19,0.0,8.7,2,27,03:38 AM,01:05 PM,07:24 AM,05:00 PM,-13,-19,-12,-19,28,21,87,0.0,1032,-5,10,227,17,louisiana
2010-01-11,-3,-7,0.0,3.7,1,19,04:38 AM,01:51 PM,07:24 AM,05:01 PM,-5,-10,-4,-10,29,90,92,0.0,1027,-3,9,319,18,louisiana
2010-01-12,-3,-12,0.0,8.7,2,12,05:33 AM,02:43 PM,07:24 AM,05:02 PM,-8,-12,-8,-12,14,28,92,0.0,1033,-3,8,253,8,louisiana
2010-01-13,6,-7,0.0,8.7,2,5,06:20 AM,03:40 PM,07:24 AM,05:03 PM,-2,-6,-1,-6,31,2,88,0.0,1022,6,10,205,18,louisiana
2010-01-14,5,1,0.0,3.7,1,0,07:01 AM,04:39 PM,07:23 AM,05:04 PM,2,-1,2,-1,26,76,97,0.0,1020,5,5,232,15,louisiana
2010-01-15,1,-3,0.0,3.7,1,0,07:35 AM,05:40 PM,07:23 AM,05:05 PM,-1,-2,0,-2,12,76,96,0.0,1026,1,4,230,7,louisiana
2010-01-16,3,-3,0.0,7.0,1,2,08:05 AM,06:39 PM,07:23 AM,05:06 PM,-2,-2,-0,-2,10,26,92,0.0,1021,3,5,189,5,louisiana
2010-01-17,5,-2,0.0,8.7,2,10,08:30 AM,07:38 PM,07:22 AM,05:07 PM,-1,-2,1,-2,15,7,91,0.0,1014,5,7,284,8,louisiana
2010-01-18,4,-1,0.0,7.0,1,17,08:54 AM,08:36 PM,07:22 AM,05:08 PM,-1,-1,1,-1,12,33,89,0.0,1016,4,10,197,6,louisiana
2010-01-19,3,-2,0.0,8.7,2,24,09:17 AM,09:35 PM,07:21 AM,05:10 PM,-2,-4,-0,-4,20,18,90,0.1,1014,3,9,79,11,louisiana
2010-01-20,3,0,0.5,3.7,1,31,09:39 AM,10:34 PM,07:21 AM,05:11 PM,1,-3,2,-3,34,97,96,19.4,1007,3,5,97,20,louisiana
2010-01-21,2,0,0.0,3.7,1,39,10:03 AM,11:35 PM,07:20 AM,05:12 PM,1,-3,2,-3,25,100,97,4.8,1006,2,4,56,16,louisiana
2010-01-22,5,-1,0.0,7.0,1,46,10:29 AM,No moonset,07:19 AM,05:13 PM,1,-2,2,-2,19,69,94,0.0,1012,5,7,149,13,louisiana
2010-01-23,8,1,0.0,3.7,1,53,10:59 AM,12:38 AM,07:19 AM,05:14 PM,4,0,5,0,37,88,95,15.3,1003,8,8,154,21,louisiana
2010-01-24,6,-1,0.0,5.4,1,60,11:36 AM,01:45 AM,07:18 AM,05:15 PM,2,-1,3,-1,31,73,90,14.9,996,6,9,268,19,louisiana
2010-01-25,-1,-5,0.0,3.8,1,68,12:21 PM,02:52 AM,07:17 AM,05:17 PM,-5,-9,-2,-9,47,97,81,0.6,1001,-1,3,276,29,louisiana
