date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,13,5,0.0,8.7,3,100,06:53 PM,08:04 AM,07:17 AM,05:35 PM,4,6,8,6,23,19,76,0.0,1029,13,10,137,13,missouri
2010-01-02,12,3,0.0,8.7,3,85,08:05 PM,08:51 AM,07:18 AM,05:36 PM,3,5,7,5,15,18,76,0.0,1026,12,10,100,9,missouri
2010-01-03,10,7,0.0,5.4,2,77,09:14 PM,09:33 AM,07:18 AM,05:36 PM,5,6,8,6,20,61,83,0.0,1024,10,9,100,12,missouri
2010-01-04,7,3,0.0,8.7,3,70,10:20 PM,10:09 AM,07:18 AM,05:37 PM,1,2,5,2,25,15,76,0.0,1030,7,10,344,15,missouri
2010-01-05,10,0,0.0,8.7,2,63,11:24 PM,10:44 AM,07:18 AM,05:38 PM,-0,3,4,3,10,0,68,0.0,1030,10,10,94,6,missouri
2010-01-06,14,2,0.0,5.5,2,56,No moonrise,11:18 AM,07:18 AM,05:38 PM,6,7,8,7,20,59,85,1.5,1022,14,9,119,10,missouri
2010-01-07,14,-2,0.0,5.5,2,48,12:26 AM,11:52 AM,07:18 AM,05:39 PM,4,3,6,3,36,63,85,5.1,1024,14,10,299,21,missouri
2010-01-08,1,-3,0.0,8.7,1,41,01:28 AM,12:28 PM,07:19 AM,05:40 PM,-13,-7,-1,-7,31,20,41,0.0,1033,1,10,314,19,missouri
2010-01-09,6,-5,0.0,8.7,2,34,02:28 AM,01:08 PM,07:19 AM,05:41 PM,-12,-3,0,-3,16,0,38,0.0,1034,6,10,169,10,missouri
2010-01-10,8,-3,0.0,8.7,2,27,03:29 AM,01:52 PM,07:19 AM,05:42 PM,-6,-1,2,-1,14,0,53,0.0,1036,8,10,69,8,missouri
2010-01-11,13,-1,0.0,8.7,3,19,04:26 AM,02:40 PM,07:19 AM,05:42 PM,2,4,5,4,7,10,76,0.0,1032,13,10,129,3,missouri
2010-01-12,16,3,0.0,8.7,3,12,05:20 AM,03:33 PM,07:19 AM,05:43 PM,5,8,9,8,12,10,79,0.0,1030,16,10,248,6,missouri
2010-01-13,15,4,0.0,7.1,2,5,06:09 AM,04:27 PM,07:18 AM,05:44 PM,7,8,9,8,15,39,83,1.3,1026,15,9,115,8,missouri
2010-01-14,17,11,0.0,3.9,3,0,06:52 AM,05:23 PM,07:18 AM,05:45 PM,12,12,14,12,27,84,91,15.6,1019,17,7,106,17,missouri
2010-01-15,14,10,0.0,3.9,3,0,07:31 AM,06:18 PM,07:18 AM,05:46 PM,11,9,12,9,42,94,93,37.1,1015,14,7,49,23,missouri
2010-01-16,12,9,0.0,3.9,2,2,08:05 AM,07:13 PM,07:18 AM,05:47 PM,9,8,10,8,30,75,93,2.8,1013,12,9,216,17,missouri
2010-01-17,17,6,0.0,8.7,4,10,08:36 AM,08:07 PM,07:18 AM,05:47 PM,9,10,11,10,16,15,87,0.0,1017,17,9,261,9,missouri
2010-01-18,18,8,0.0,7.1,3,17,09:06 AM,08:59 PM,07:18 AM,05:48 PM,11,13,14,13,21,33,85,0.0,1017,18,10,165,12,missouri
2010-01-19,21,16,0.0,3.9,4,24,09:34 AM,09:52 PM,07:17 AM,05:49 PM,16,18,19,18,25,71,92,0.0,1013,21,9,173,14,missouri
2010-01-20,21,17,0.0,3.9,4,31,10:01 AM,10:46 PM,07:17 AM,05:50 PM,18,19,19,19,26,86,95,2.0,1006,21,6,170,14,missouri
2010-01-21,23,15,0.0,8.7,5,39,10:30 AM,11:41 PM,07:17 AM,05:51 PM,12,18,18,18,17,6,71,0.0,1007,23,10,284,9,missouri
2010-01-22,21,11,0.0,8.7,5,46,11:02 AM,No moonset,07:17 AM,05:52 PM,12,16,16,16,24,1,74,0.0,1009,21,10,143,13,missouri
