date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,4,-2,0.4,5.2,1,100,05:56 PM,08:04 AM,07:20 AM,04:39 PM,1,-1,1,-1,13,72,94,1.5,1011,4,5,307,8,new%20york
2010-01-02,-1,-9,0.0,3.5,1,85,07:16 PM,08:44 AM,07:20 AM,04:40 PM,-7,-12,-4,-12,43,65,81,0.5,1005,-1,4,307,27,new%20york
2010-01-03,-6,-9,0.0,7.0,1,77,08:33 PM,09:18 AM,07:21 AM,04:41 PM,-11,-16,-7,-16,50,62,73,0.0,1002,-6,4,301,31,new%20york
2010-01-04,-2,-7,0.0,7.0,1,70,09:47 PM,09:48 AM,07:21 AM,04:42 PM,-8,-12,-5,-12,33,37,83,0.0,1007,-2,10,303,22,new%20york
2010-01-05,-1,-7,0.0,7.0,1,63,10:59 PM,10:14 AM,07:21 AM,04:43 PM,-9,-11,-5,-11,29,32,74,0.0,1007,-1,10,303,19,new%20york
2010-01-06,0,-5,0.0,3.5,1,56,No moonrise,10:41 AM,07:20 AM,04:44 PM,-7,-9,-3,-9,33,58,73,0.0,1008,0,10,305,21,new%20york
2010-01-07,3,-3,0.0,8.7,2,48,12:09 AM,11:08 AM,07:20 AM,04:45 PM,-4,-6,-1,-6,26,27,77,0.0,1012,3,10,293,16,new%20york
2010-01-08,1,-7,0.0,3.5,1,41,01:18 AM,11:38 AM,07:20 AM,04:46 PM,-5,-7,-2,-7,24,78,83,0.7,1009,1,4,282,16,new%20york
2010-01-09,-2,-8,0.0,8.7,2,34,02:25 AM,12:11 PM,07:20 AM,04:47 PM,-10,-12,-6,-12,26,6,72,0.0,1019,-2,10,325,18,new%20york
2010-01-10,-2,-9,0.0,8.7,2,27,03:31 AM,12:50 PM,07:20 AM,04:48 PM,-11,-12,-6,-12,19,6,67,0.0,1023,-2,10,314,14,new%20york
2010-01-11,-1,-7,0.0,8.7,1,19,04:31 AM,01:36 PM,07:20 AM,04:49 PM,-9,-8,-4,-8,19,33,69,0.0,1021,-1,10,274,13,new%20york
2010-01-12,1,-6,0.0,8.7,2,12,05:27 AM,02:27 PM,07:19 AM,04:50 PM,-7,-8,-3,-8,27,32,73,0.0,1018,1,10,307,18,new%20york
2010-01-13,2,-6,0.0,8.7,2,5,06:14 AM,03:25 PM,07:19 AM,04:51 PM,-6,-7,-2,-7,23,25,70,0.0,1022,2,10,289,15,new%20york
2010-01-14,6,-3,0.0,8.7,2,0,06:55 AM,04:24 PM,07:19 AM,04:52 PM,-1,-2,1,-2,12,9,79,0.0,1024,6,10,249,8,new%20york
2010-01-15,7,-1,0.0,5.2,1,0,07:29 AM,05:25 PM,07:18 AM,04:53 PM,1,-1,3,-1,22,41,85,0.0,1021,7,10,276,14,new%20york
2010-01-16,7,-1,0.0,8.7,2,2,07:58 AM,06:25 PM,07:18 AM,04:54 PM,1,-0,3,-0,17,9,86,0.0,1022,7,10,280,11,new%20york
2010-01-17,5,-0,0.0,3.5,1,10,08:23 AM,07:26 PM,07:17 AM,04:56 PM,2,-1,3,-1,28,69,93,13.8,1013,5,8,79,17,new%20york
2010-01-18,8,2,0.0,7.0,1,17,08:46 AM,08:25 PM,07:17 AM,04:57 PM,3,1,4,1,28,70,91,1.6,1008,8,7,177,17,new%20york
2010-01-19,8,1,0.0,5.3,1,24,09:08 AM,09:24 PM,07:16 AM,04:58 PM,3,3,4,3,12,67,92,0.0,1012,8,6,248,7,new%20york
2010-01-20,5,-1,0.0,8.7,2,31,09:30 AM,10:24 PM,07:16 AM,04:59 PM,-1,-2,2,-2,19,12,80,0.0,1015,5,10,317,13,new%20york
2010-01-21,6,-1,0.0,8.7,2,39,09:52 AM,11:26 PM,07:15 AM,05:00 PM,-1,-1,1,-1,9,8,75,0.0,1021,6,10,151,6,new%20york
2010-01-22,5,-1,0.0,8.7,2,46,10:17 AM,No moonset,07:14 AM,05:02 PM,-3,-3,1,-3,20,23,71,0.0,1015,5,10,31,14,new%20york
2010-01-23,6,-2,0.0,8.7,2,53,10:46 AM,12:30 AM,07:14 AM,05:03 PM,-4,-2,0,-2,14,11,66,0.0,1024,6,10,87,9,new%20york
2010-01-24,9,-2,0.0,3.7,1,60,11:22 AM,01:37 AM,07:13 AM,05:04 PM,3,1,4,1,20,77,92,0.0,1019,9,6,135,11,new%20york
2010-01-25,14,7,0.0,3.7,3,68,12:06 PM,02:45 AM,07:12 AM,05:05 PM,10,8,11,8,56,77,93,33.0,998,14,7,202,29,new%20york
2010-01-26,5,-0,0.0,5.4,1,75,01:01 PM,03:53 AM,07:11 AM,05:06 PM,0,-1,3,-1,30,52,81,1.2,1005,5,9,265,18,new%20york
2010-01-27,4,-1,0.0,8.7,2,82,02:08 PM,04:55 AM,07:11 AM,05:08 PM,-5,-4,1,-4,22,12,67,0.0,1018,4,10,277,16,new%20york
2010-01-28,4,-7,0.0,7.0,1,90,03:24 PM,05:49 AM,07:10 AM,05:09 PM,-5,-5,-0,-5,30,50,73,0.5,1017,4,7,256,18,new%20york
2010-01-29,-5,-9,0.0,8.7,2,97,04:44 PM,06:34 AM,07:09 AM,05:10 PM,-16,-15,-7,-15,40,23,47,0.0,1025,-5,10,305,25,new%20york
2010-01-30,-6,-10,0.0,5.4,1,100,06:04 PM,07:12 AM,07:08 AM,05:11 PM,-16,-14,-8,-14,23,62,52,0.0,1022,-6,10,156,16,new%20york
2010-01-31,-0,-8,0.0,8.7,2,100,07:23 PM,07:45 AM,07:07 AM,05:13 PM,-15,-10,-5,-10,22,18,46,0.0,1019,-0,10,272,15,new%20york
2010-02-01,2,-5,0.0,10.0,2,77,08:38 PM,08:14 AM,07:06 AM,05:14 PM,-10,-7,-2,-7,25,17,55,0.0,1024,2,10,273,17,new%20york
2010-02-02,1,-4,0.0,8.5,1,69,09:52 PM,08:41 AM,07:05 AM,05:15 PM,-6,-4,-1,-4,13,57,69,0.5,1023,1,9,127,9,new%20york
2010-02-03,3,-2,1.3,8.0,1,62,11:04 PM,09:09 AM,07:04 AM,05:16 PM,-1,-3,0,-3,17,72,89,2.9,1018,3,8,212,11,new%20york
2010-02-04,2,-3,0.0,10.0,2,54,No moonrise,09:39 AM,07:03 AM,05:18 PM,-6,-6,-1,-6,24,8,72,0.0,1026,2,10,308,15,new%20york
