date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-12,-19,0.0,6.8,1,100,06:00 PM,08:25 AM,07:40 AM,04:38 PM,-16,-24,-15,-24,27,98,96,0.0,1032,-12,9,326,17,north%20dakota
2010-01-02,-18,-24,0.0,9.0,2,85,07:22 PM,09:03 AM,07:40 AM,04:39 PM,-23,-30,-21,-30,23,33,94,0.0,1037,-18,9,322,14,north%20dakota
2010-01-03,-15,-26,0.0,9.0,2,77,08:42 PM,09:34 AM,07:40 AM,04:40 PM,-21,-29,-21,-29,22,34,96,0.0,1037,-15,5,229,13,north%20dakota
2010-01-04,-13,-22,0.0,9.0,2,70,09:59 PM,10:00 AM,07:40 AM,04:41 PM,-20,-27,-18,-27,30,23,94,0.0,1034,-13,10,326,17,north%20dakota
2010-01-05,-12,-19,0.0,9.0,2,63,11:14 PM,10:24 AM,07:40 AM,04:42 PM,-18,-25,-16,-25,25,17,95,0.0,1030,-12,10,322,15,north%20dakota
2010-01-06,-10,-19,0.0,6.8,1,56,No moonrise,10:48 AM,07:40 AM,04:43 PM,-14,-18,-13,-18,12,75,97,1.2,1026,-10,1,242,7,north%20dakota
2010-01-07,-7,-10,4.4,6.8,1,48,12:26 AM,11:13 AM,07:40 AM,04:44 PM,-9,-16,-8,-16,37,100,97,8.2,1021,-7,1,199,22,north%20dakota
2010-01-08,-9,-17,0.0,6.8,1,41,01:38 AM,11:41 AM,07:40 AM,04:45 PM,-14,-20,-12,-20,29,97,97,0.0,1032,-9,6,336,17,north%20dakota
2010-01-09,-14,-22,0.0,9.0,2,34,02:48 AM,12:12 PM,07:39 AM,04:46 PM,-19,-24,-18,-24,16,39,97,0.0,1037,-14,2,301,8,north%20dakota
2010-01-10,-9,-18,0.0,7.8,1,27,03:55 AM,12:50 PM,07:39 AM,04:48 PM,-12,-21,-13,-21,35,63,93,0.0,1025,-9,10,233,21,north%20dakota
2010-01-11,-7,-11,0.0,6.8,1,19,04:57 AM,01:35 PM,07:39 AM,04:49 PM,-10,-16,-9,-16,29,85,97,0.0,1028,-7,8,296,17,north%20dakota
2010-01-12,-6,-16,0.0,9.0,2,12,05:52 AM,02:26 PM,07:38 AM,04:50 PM,-12,-16,-10,-16,26,17,96,0.0,1029,-6,6,232,14,north%20dakota
2010-01-13,0,-7,0.0,7.5,1,5,06:38 AM,03:25 PM,07:38 AM,04:51 PM,-3,-9,-3,-9,32,68,97,0.0,1016,0,10,204,19,north%20dakota
2010-01-14,0,-3,0.0,6.8,1,0,07:17 AM,04:26 PM,07:37 AM,04:52 PM,-1,-5,-1,-5,24,84,97,0.0,1017,0,9,282,15,north%20dakota
2010-01-15,-2,-10,0.0,9.0,2,0,07:49 AM,05:29 PM,07:37 AM,04:53 PM,-8,-9,-6,-9,14,25,96,0.0,1025,-2,3,213,7,north%20dakota
