date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-9,-17,0.0,3.4,1,100,05:52 PM,08:20 AM,07:36 AM,04:30 PM,-13,-21,-13,-21,26,88,95,0.0,1029,-9,9,321,16,wisconsin
2010-01-02,-15,-21,0.0,3.4,1,85,07:15 PM,08:58 AM,07:36 AM,04:31 PM,-18,-27,-18,-27,22,68,95,0.0,1034,-15,9,320,14,wisconsin
2010-01-03,-11,-21,0.0,5.1,1,77,08:35 PM,09:28 AM,07:36 AM,04:32 PM,-16,-25,-17,-25,25,45,96,0.0,1035,-11,9,310,14,wisconsin
2010-01-04,-9,-15,0.0,3.4,1,70,09:53 PM,09:54 AM,07:36 AM,04:33 PM,-13,-20,-12,-20,29,89,96,0.0,1030,-9,10,326,18,wisconsin
2010-01-05,-7,-11,0.0,3.4,1,63,11:08 PM,10:18 AM,07:36 AM,04:34 PM,-10,-17,-10,-17,27,85,96,0.0,1026,-7,10,323,17,wisconsin
2010-01-06,-7,-11,0.0,8.7,1,56,No moonrise,10:41 AM,07:35 AM,04:35 PM,-10,-14,-9,-14,16,68,96,0.0,1024,-7,3,205,9,wisconsin
2010-01-07,-5,-9,0.0,3.4,1,48,12:21 AM,11:06 AM,07:35 AM,04:36 PM,-7,-14,-7,-14,36,100,96,5.6,1019,-5,3,22,21,wisconsin
2010-01-08,-8,-16,0.0,3.4,1,41,01:33 AM,11:33 AM,07:35 AM,04:37 PM,-12,-19,-12,-19,26,75,95,0.0,1029,-8,10,318,16,wisconsin
2010-01-09,-12,-21,0.0,8.7,2,34,02:43 AM,12:04 PM,07:35 AM,04:39 PM,-17,-24,-17,-24,20,21,95,0.0,1035,-12,4,312,11,wisconsin
2010-01-10,-9,-18,0.0,3.4,1,27,03:50 AM,12:42 PM,07:34 AM,04:40 PM,-14,-21,-13,-21,33,70,94,0.0,1024,-9,9,243,20,wisconsin
2010-01-11,-5,-12,0.0,3.4,1,19,04:52 AM,01:26 PM,07:34 AM,04:41 PM,-9,-15,-8,-15,26,75,95,0.0,1026,-5,7,340,16,wisconsin
2010-01-12,-6,-17,0.0,8.7,2,12,05:47 AM,02:18 PM,07:34 AM,04:42 PM,-11,-17,-11,-17,24,18,96,0.0,1028,-6,6,250,14,wisconsin
2010-01-13,-1,-8,0.0,3.4,1,5,06:34 AM,03:16 PM,07:33 AM,04:43 PM,-5,-10,-5,-10,26,81,97,0.0,1016,-1,7,211,14,wisconsin
2010-01-14,-0,-4,0.0,3.4,1,0,07:13 AM,04:18 PM,07:33 AM,04:45 PM,-2,-7,-2,-7,28,95,97,0.0,1015,-0,8,273,17,wisconsin
2010-01-15,-3,-8,0.0,8.7,2,0,07:44 AM,05:21 PM,07:32 AM,04:46 PM,-8,-11,-6,-11,18,17,95,0.0,1025,-3,6,273,10,wisconsin
2010-01-16,-2,-9,0.0,8.7,2,2,08:10 AM,06:24 PM,07:32 AM,04:47 PM,-7,-12,-6,-12,28,2,92,0.0,1019,-2,10,219,15,wisconsin
2010-01-17,0,-7,0.0,6.9,1,10,08:33 AM,07:27 PM,07:31 AM,04:48 PM,-4,-8,-3,-8,22,26,95,0.0,1012,0,6,280,12,wisconsin
