date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2010-01-01,-5,-10,0.0,3.4,1,100,06:39 PM,08:59 AM,08:14 AM,05:19 PM,-7,-12,-6,-12,24,94,95,0.0,1023,-5,4,263,15,wyoming
2010-01-02,-10,-14,0.0,3.4,1,85,08:00 PM,09:38 AM,08:14 AM,05:20 PM,-11,-18,-11,-18,25,97,94,0.0,1027,-10,4,341,15,wyoming
2010-01-03,-6,-14,0.0,3.4,1,77,09:20 PM,10:09 AM,08:14 AM,05:21 PM,-10,-17,-10,-17,31,93,95,0.0,1027,-6,7,331,19,wyoming
2010-01-04,-4,-7,0.0,3.4,1,70,10:36 PM,10:36 AM,08:14 AM,05:22 PM,-6,-11,-5,-11,28,100,95,0.0,1022,-4,4,332,18,wyoming
2010-01-05,-2,-6,0.0,3.4,1,63,11:50 PM,11:02 AM,08:14 AM,05:23 PM,-4,-9,-4,-9,24,100,95,0.0,1020,-2,5,316,15,wyoming
2010-01-06,-2,-4,0.0,3.4,1,56,No moonrise,11:26 AM,08:14 AM,05:24 PM,-3,-7,-3,-7,18,100,96,0.0,1020,-2,5,303,12,wyoming
2010-01-07,-4,-5,1.5,3.4,1,48,01:01 AM,11:52 AM,08:13 AM,05:25 PM,-5,-9,-5,-9,14,100,97,7.7,1016,-4,3,123,9,wyoming
2010-01-08,-5,-10,0.0,3.4,1,41,02:12 AM,12:20 PM,08:13 AM,05:26 PM,-8,-13,-7,-13,25,100,96,0.8,1022,-5,7,307,15,wyoming
2010-01-09,-10,-16,0.0,8.7,2,34,03:21 AM,12:52 PM,08:13 AM,05:27 PM,-14,-17,-13,-17,12,35,98,0.0,1031,-10,1,122,6,wyoming
2010-01-10,-7,-14,0.0,6.9,1,27,04:27 AM,01:31 PM,08:13 AM,05:28 PM,-9,-16,-9,-16,32,67,95,0.0,1027,-7,9,228,20,wyoming
2010-01-11,-3,-9,0.0,3.4,1,19,05:29 AM,02:15 PM,08:13 AM,05:30 PM,-6,-11,-6,-11,23,94,96,1.4,1021,-3,6,254,15,wyoming
2010-01-12,-4,-13,0.0,6.9,1,12,06:24 AM,03:07 PM,08:12 AM,05:31 PM,-9,-13,-8,-13,19,59,97,0.0,1029,-4,4,190,10,wyoming
2010-01-13,-1,-6,0.0,7.0,1,5,07:11 AM,04:05 PM,08:12 AM,05:32 PM,-4,-9,-3,-9,36,49,96,0.0,1020,-1,10,221,20,wyoming
2010-01-14,2,-2,0.0,3.5,1,0,07:50 AM,05:06 PM,08:11 AM,05:33 PM,0,-5,0,-5,35,95,99,0.0,1017,2,4,229,20,wyoming
2010-01-15,0,-3,0.0,8.7,1,0,08:23 AM,06:08 PM,08:11 AM,05:34 PM,-2,-4,-1,-4,14,47,96,0.0,1024,0,4,276,9,wyoming
2010-01-16,-2,-4,0.0,8.7,2,2,08:50 AM,07:10 PM,08:10 AM,05:35 PM,-6,-8,-4,-8,21,22,94,0.0,1021,-2,6,218,10,wyoming
2010-01-17,2,-5,0.0,8.7,2,10,09:14 AM,08:11 PM,08:10 AM,05:37 PM,-5,-5,-3,-5,11,10,89,0.0,1012,2,10,234,5,wyoming
2010-01-18,-0,-5,0.0,5.2,1,17,09:36 AM,09:12 PM,08:09 AM,05:38 PM,-4,-6,-2,-6,18,52,96,0.0,1014,-0,4,239,11,wyoming
2010-01-19,0,-4,0.0,3.5,1,24,09:56 AM,10:13 PM,08:09 AM,05:39 PM,-2,-5,-2,-5,17,74,96,0.0,1015,0,7,230,10,wyoming
2010-01-20,-2,-8,0.0,8.7,2,31,10:16 AM,11:15 PM,08:08 AM,05:40 PM,-6,-11,-5,-11,26,39,95,0.0,1019,-2,8,75,16,wyoming
2010-01-21,-1,-7,0.0,8.7,2,39,10:37 AM,No moonset,08:07 AM,05:42 PM,-6,-11,-4,-11,38,28,94,0.0,1016,-1,10,79,22,wyoming
2010-01-22,0,-4,0.0,7.0,1,46,11:01 AM,12:18 AM,08:07 AM,05:43 PM,-3,-7,-2,-7,26,62,96,0.0,1016,0,10,75,15,wyoming
2010-01-23,2,-3,0.0,3.5,1,53,11:29 AM,01:24 AM,08:06 AM,05:44 PM,0,-4,0,-4,31,96,98,0.0,1014,2,8,116,18,wyoming
2010-01-24,7,3,0.0,3.5,1,60,12:03 PM,02:32 AM,08:05 AM,05:45 PM,4,-0,4,-0,43,100,97,5.9,995,7,7,179,23,wyoming
2010-01-25,1,-2,0.0,3.5,1,68,12:46 PM,03:43 AM,08:04 AM,05:47 PM,-2,-6,-1,-6,32,100,92,0.8,992,1,5,234,19,wyoming
2010-01-26,-2,-6,0.0,3.5,1,75,01:42 PM,04:50 AM,08:03 AM,05:48 PM,-5,-10,-3,-10,36,100,90,0.4,1007,-2,2,260,23,wyoming
2010-01-27,-5,-7,0.0,3.5,1,82,02:49 PM,05:52 AM,08:03 AM,05:49 PM,-8,-14,-6,-14,42,100,87,0.4,1018,-5,0,250,26,wyoming
2010-01-28,-7,-13,0.0,3.6,1,90,04:06 PM,06:45 AM,08:02 AM,05:51 PM,-12,-19,-11,-19,37,100,85,0.0,1026,-7,2,304,24,wyoming
2010-01-29,-8,-14,0.0,3.6,1,97,05:28 PM,07:29 AM,08:01 AM,05:52 PM,-12,-15,-11,-15,11,77,85,0.0,1032,-8,7,245,7,wyoming
2010-01-30,-6,-13,0.0,8.7,2,100,06:50 PM,08:04 AM,08:00 AM,05:53 PM,-12,-13,-10,-13,10,9,85,0.0,1026,-6,10,165,6,wyoming
2010-01-31,-4,-10,0.0,3.7,1,100,08:10 PM,08:35 AM,07:59 AM,05:54 PM,-8,-13,-7,-13,30,75,88,0.0,1023,-4,8,264,18,wyoming
2010-02-01,-3,-11,0.0,3.7,1,77,09:28 PM,09:02 AM,07:58 AM,05:56 PM,-7,-10,-7,-10,13,70,89,0.0,1026,-3,8,208,8,wyoming
2010-02-02,-2,-7,0.0,3.8,1,69,10:43 PM,09:28 AM,07:57 AM,05:57 PM,-5,-8,-4,-8,13,94,95,2.1,1019,-2,3,124,8,wyoming
2010-02-03,-1,-8,0.0,3.8,1,62,11:58 PM,09:54 AM,07:56 AM,05:58 PM,-4,-7,-4,-7,14,73,92,0.0,1024,-1,5,291,8,wyoming
2010-02-04,-0,-9,0.0,10.0,1,54,No moonrise,10:22 AM,07:54 AM,06:00 PM,-6,-8,-5,-8,11,43,93,0.0,1028,-0,7,136,6,wyoming
2010-02-05,0,-5,0.0,6.8,1,47,01:09 AM,10:54 AM,07:53 AM,06:01 PM,-4,-9,-3,-9,34,78,90,0.0,1020,0,8,68,21,wyoming
2010-02-06,-4,-9,0.0,5.3,1,39,02:18 AM,11:31 AM,07:52 AM,06:02 PM,-7,-13,-7,-13,33,87,89,0.0,1020,-4,8,39,20,wyoming
2010-02-07,-4,-10,0.0,5.3,1,32,03:23 AM,12:13 PM,07:51 AM,06:04 PM,-8,-11,-7,-11,15,77,90,0.0,1023,-4,7,55,8,wyoming
2010-02-08,-2,-10,0.0,10.6,2,24,04:20 AM,01:03 PM,07:50 AM,06:05 PM,-8,-11,-6,-11,17,40,87,0.0,1024,-2,10,97,10,wyoming
2010-02-09,-4,-8,1.7,5.3,1,16,05:09 AM,01:59 PM,07:48 AM,06:06 PM,-6,-12,-5,-12,34,99,95,9.7,1013,-4,3,58,21,wyoming
2010-02-10,-3,-8,1.4,5.3,1,9,05:51 AM,02:58 PM,07:47 AM,06:08 PM,-6,-12,-5,-12,33,100,94,4.7,1012,-3,4,304,21,wyoming
2010-02-11,-3,-8,0.0,5.3,1,1,06:25 AM,04:00 PM,07:46 AM,06:09 PM,-5,-12,-6,-12,22,92,96,0.0,1018,-3,7,300,13,wyoming
2010-02-12,-2,-11,0.0,6.9,1,0,06:54 AM,05:02 PM,07:45 AM,06:10 PM,-6,-11,-7,-11,17,67,95,0.0,1016,-2,6,290,9,wyoming
2010-02-13,-2,-14,0.0,5.3,1,0,07:19 AM,06:04 PM,07:43 AM,06:11 PM,-6,-13,-8,-13,20,87,96,0.0,1012,-2,4,297,11,wyoming
2010-02-14,-2,-7,0.0,5.4,1,0,07:42 AM,07:05 PM,07:42 AM,06:13 PM,-4,-10,-5,-10,21,99,96,0.0,1011,-2,5,267,12,wyoming
2010-02-15,-3,-11,0.0,5.4,1,6,08:02 AM,08:06 PM,07:40 AM,06:14 PM,-5,-10,-6,-10,16,87,96,0.1,1009,-3,3,309,9,wyoming
2010-02-16,-2,-6,0.0,5.4,1,13,08:22 AM,09:07 PM,07:39 AM,06:15 PM,-4,-9,-4,-9,24,100,96,1.3,1008,-2,4,315,14,wyoming
2010-02-17,-1,-5,0.0,5.4,1,21,08:43 AM,10:10 PM,07:38 AM,06:17 PM,-2,-8,-3,-8,26,100,97,0.0,1012,-1,4,306,17,wyoming
2010-02-18,-0,-6,0.0,7.0,1,29,09:06 AM,11:14 PM,07:36 AM,06:18 PM,-2,-7,-2,-7,23,78,96,0.0,1015,-0,8,304,13,wyoming
2010-02-19,0,-8,0.0,10.1,1,36,09:32 AM,No moonset,07:35 AM,06:19 PM,-3,-9,-4,-9,20,44,96,0.0,1020,0,9,296,12,wyoming
2010-02-20,2,-9,0.0,7.0,1,44,10:03 AM,12:20 AM,07:33 AM,06:21 PM,-5,-4,-3,-4,7,72,89,0.0,1022,2,8,171,4,wyoming
2010-02-21,2,-2,0.0,5.5,1,51,10:41 AM,01:28 AM,07:32 AM,06:22 PM,-1,-3,0,-3,15,95,96,0.2,1018,2,5,80,9,wyoming
2010-02-22,-1,-3,2.7,5.5,1,59,11:30 AM,02:34 AM,07:30 AM,06:23 PM,-2,-7,-2,-7,28,100,97,10.9,1010,-1,5,57,17,wyoming
2010-02-23,0,-6,0.0,7.0,1,66,12:29 PM,03:37 AM,07:29 AM,06:24 PM,-3,-6,-3,-6,13,89,96,0.0,1012,0,7,237,7,wyoming
